horizon_s,rmse_deg,mae_deg,r2
1,1.6010156791373833,1.2021298353821483,0.933193420259093
2,2.073409231403062,1.5711803951497771,0.8879682061462759
3,3.2847989440570764,2.464665887835471,0.7187578502711206
4,4.664353528011957,3.5224321017844717,0.43291858307514375
5,4.6641165507394815,3.5303743299703556,0.4329343183881331
overall,3.4974950516548047,2.4581565100244442,0.6811708256518494
