method,nominal,empirical
MC-Dropout,0.1,0.06871759173758009
MC-Dropout,0.3,0.20911053969967752
MC-Dropout,0.5,0.35823471750649943
MC-Dropout,0.7,0.5299711610859342
MC-Dropout,0.9,0.7433904902615391
Deep Ensemble,0.1,0.06197383188191672
Deep Ensemble,0.3,0.18809648960804648
Deep Ensemble,0.5,0.32379423505845917
Deep Ensemble,0.7,0.4838800414825759
Deep Ensemble,0.9,0.6982043158926567
Quantile,0.8999999999999999,0.8092938017644301
