threshold_deg,alarm,prevalence,budget_fpr,n_events,roc_auc,pr_auc,best_f1,effective_horizon_s,achieved_fpr,detection_rate,mean_lead_s
15,point,0.1205,0.1,7734,0.9277907205341283,0.7559920733376846,0.6902252954658934,5.0,0.1,0.9955521075769329,4.028479611045875
15,prob,0.1205,0.1,7734,0.9467808513871802,0.7884212962707147,0.6980262733523074,5.0,0.09998,0.9877165761572279,4.364363209926727
15,naive,0.1205,0.1,7734,0.669714428508971,0.25386811723700436,0.31572511857688024,0.0,0.1,0.7314455650374968,3.5851157857521656
20,point,0.0494,0.1,3170,0.9483451274949519,0.6991081286854839,0.6518613199058002,5.0,0.09996000000000001,0.9968454258675079,4.270380439617929
20,prob,0.0494,0.1,3170,0.9526051989162585,0.7330894964939134,0.6608151805666262,5.0,0.09994,0.994826498422713,4.65899874385025
20,naive,0.0494,0.1,3170,0.7026234819139661,0.15025861965068318,0.23255448037133192,0.0,0.0999,0.8280757097791798,3.5950476190476186
25,point,0.0192,0.1,1233,0.9638163283948481,0.6331101391284857,0.60459831051104,5.0,0.09992000000000001,0.9956204379562044,4.520852353632815
25,prob,0.0192,0.1,1233,0.9456087979977287,0.6644269728947785,0.6134016559615254,5.0,0.05816,0.994809407948094,4.632311729958479
25,naive,0.0192,0.1,1233,0.7343769846202248,0.08460921378480168,0.1611026808295397,0.0,0.1,0.8856447688564477,3.659340659340659
