threshold_deg,delta_auc_mean,delta_auc_std,ci_lo_seed0,ci_hi_seed0,p_boot_max,p_delong_max,n_sig_seeds,n_seeds
15,0.018990130853051856,0.0020189535652684093,0.015883502669038332,0.020981693239669776,0.0,0.0,5,5
20,0.004260071421306644,0.0025287533583402567,-1.861245726642313e-05,0.006267883935924626,0.5033333333333333,0.026415460508087,2,5
25,-0.018207530397119375,0.003341224114692375,-0.02427701325487236,-0.014738097751394993,0.0,9.590480830889691e-33,0,5
