comparison,delta_r2,ci_lo,ci_hi,p_boot
LSTM - GRU,0.003382970731480972,0.0021395922150579836,0.00466750585476727,0.0
LSTM - GBM,0.1914278633013381,0.18517832951387805,0.19823772577885304,0.0
