group,lag,acf,pacf
all,0,1.0,1.0
all,1,0.19563185691723714,0.19563185691723714
all,2,0.147725170288744,0.11380902578882691
all,3,0.38959988123760947,0.35998610506025236
all,4,0.1682041681193936,0.04672211727004631
all,5,-0.0245911250973348,-0.15104211047158117
all,6,0.03063625021795658,-0.12938034648984942
all,7,0.03980877272499837,-0.017837932414324638
all,8,0.01179868361580735,0.09408996923709038
all,9,-0.0071722105035925314,0.05601376187132579
all,10,-0.014497913493010132,-0.029281146383378875
all,11,-0.00682773069178189,-0.05926232891928025
all,12,-0.006011270537528509,-0.0249554924800581
all,13,-0.003497613074493327,0.03316578865258684
all,14,-0.014455713576292434,0.0223004021408826
all,15,-0.0024258041675348325,0.006753987970392233
all,16,-0.0017408988300542509,-0.022590828914362374
all,17,-0.0075818516829668685,-0.016976982687879946
all,18,-0.0111883120855975,-0.006345936592995286
all,19,-0.004298142352265355,0.010413240427834002
all,20,-0.014225012936499032,-0.004706374010528304
all,21,-0.015167748196930762,-0.009881180101519503
all,22,-0.009637336672012392,-0.008185355840314698
all,23,-0.015073321116961247,-0.00625948941433344
all,24,-0.009624280030501782,0.006755988912396792
all,25,-0.009948657462399738,-0.0006696175618589919
all,26,-0.010325740001785107,-0.0036944070899647247
all,27,-0.007174237154760904,-0.005310551014501919
all,28,-0.0009220690209359683,0.004338300967286649
all,29,-0.011202294821594568,-0.006232005938619547
all,30,-0.0011613600914060086,0.004990321873892789
Hs3,0,1.0,1.0
Hs3,1,0.16286821871331297,0.16286821871331297
Hs3,2,0.19527510085100347,0.17334726351931218
Hs3,3,0.3496210388323666,0.3125296821817242
Hs3,4,0.18339443624954133,0.09240583894330706
Hs3,5,-0.03599513666081165,-0.1914665956647168
Hs3,6,0.04653851930490817,-0.10686620545763868
Hs3,7,0.01735015043892054,-0.04194755453279527
Hs3,8,0.01395203301400206,0.10195788035359284
Hs3,9,-0.009912921917255912,0.05949688979130498
Hs3,10,-0.026687053007208354,-0.04046181645506312
Hs3,11,-0.00913528325548596,-0.05450603389674757
Hs3,12,-0.005706409678641782,-0.02559526929728615
Hs3,13,-0.0036060998249105984,0.043291339024543414
Hs3,14,-0.02361855731429661,0.013258208987291464
Hs3,15,0.007557712522850488,0.011956889375276808
Hs3,16,0.008634507738397296,-0.009276821835984803
Hs3,17,-0.0026494639037169575,-0.011678631311872323
Hs3,18,-0.010117540988374325,-0.011329457249831518
Hs3,19,0.010459370790318324,0.008539106155303258
Hs3,20,-0.008989394332545298,-0.004264690710797987
Hs3,21,-0.0067413456812128875,-0.0008867218420811353
Hs3,22,-0.006866997136944189,-0.006624252596553074
Hs3,23,-0.003321140914260161,-0.0004590955059397228
Hs3,24,-0.0031717401155794576,0.005056610238609497
Hs3,25,-0.0014475274535162598,0.003921158983420937
