group,lag1_acf,tia_dominant_period_s,roll_dominant_period_s,pitch_dominant_period_s,n_records
all,0.19563185691723714,73.14285714285714,7.013698630136986,6.564102564102564,15
Hs3,0.16286821871331297,85.33333333333333,7.013698630136986,6.168674698795181,5
Hs5,0.18853749365883657,64.0,7.757575757575758,6.564102564102564,5
Hs7,0.2354898583795618,102.4,6.564102564102564,7.211267605633803,5
