time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.080075,0.113717,0.155884,0.245797,-0.118890,0.013419,0.166862,-0.029454,0.169442,0.054995
2.000000,0.023655,0.039309,-0.080166,-0.059961,0.025035,0.019508,0.231723,-0.077586,0.244367,0.078903
3.000000,0.005497,0.037614,-0.155402,-0.235244,0.150273,0.037568,0.044728,-0.033204,0.055705,0.018157
4.000000,0.071705,0.090176,-0.080745,-0.181135,0.093782,0.050511,-0.177385,0.058876,0.186901,0.060598
5.000000,0.158561,0.137507,0.111465,0.049004,-0.074561,0.039770,-0.219914,0.087137,0.236548,0.076427
6.000000,0.221729,0.185353,0.143908,0.181431,-0.138480,0.042266,-0.073677,0.027999,0.078818,0.025678
7.000000,0.184274,0.160590,-0.001804,0.091159,-0.028214,0.038736,0.067069,-0.039679,0.077927,0.025388
8.000000,0.137582,0.102031,-0.093478,-0.095524,0.097469,0.034046,0.041309,-0.030159,0.051147,0.016673
9.000000,0.178057,0.113856,0.023304,-0.017176,0.027658,0.027783,-0.012316,0.016710,0.020758,0.006769
10.000000,0.239399,0.145883,0.093919,0.107796,-0.085518,0.023828,0.053188,0.006668,0.053604,0.017473
11.000000,0.236175,0.138714,0.009399,0.085687,-0.066835,0.023248,0.157232,-0.047458,0.164238,0.053321
12.000000,0.180448,0.091570,-0.109068,-0.080084,0.066745,0.021401,0.138952,-0.061160,0.151816,0.049321
13.000000,0.182376,0.088612,-0.131230,-0.214158,0.144647,0.036172,-0.040349,0.000490,0.040352,0.013156
14.000000,0.255450,0.124232,0.029215,-0.074166,0.020049,0.034603,-0.182151,0.071555,0.195702,0.063416
15.000000,0.300240,0.137407,0.089610,0.037126,-0.070414,0.024371,-0.187281,0.066570,0.198761,0.064395
16.000000,0.294535,0.128342,0.033973,0.042298,-0.042033,0.018214,-0.140929,0.030574,0.144207,0.046867
17.000000,0.299387,0.159533,0.079974,0.136323,-0.046702,0.014150,-0.029327,0.003952,0.029592,0.009649
