time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.029178,0.053576,0.095954,0.129878,-0.046629,0.001933,0.086630,-0.019133,0.088718,0.036119
2.000000,0.025131,0.063376,0.051369,0.111393,-0.036005,0.007180,0.222296,-0.055534,0.229128,0.092590
3.000000,-0.020475,-0.006050,-0.098284,-0.113362,0.046061,0.009241,0.198810,-0.053850,0.205974,0.083374
4.000000,-0.010700,0.006913,-0.060087,-0.121275,0.040674,0.013267,0.063631,-0.018068,0.066146,0.026945
5.000000,0.001673,0.024503,-0.060024,-0.097834,0.031036,0.014686,-0.059039,0.012393,0.060326,0.024577
6.000000,0.007966,0.025973,-0.107220,-0.144280,0.048316,0.018212,-0.200718,0.048162,0.206415,0.083550
7.000000,0.050908,0.078623,0.048699,0.021727,-0.013617,0.014131,-0.253703,0.066981,0.262396,0.105744
8.000000,0.112495,0.175255,0.196997,0.227852,-0.084705,0.018939,-0.090477,0.029796,0.095257,0.038773
9.000000,0.109997,0.179024,0.065847,0.152148,-0.047288,0.026838,0.118428,-0.028573,0.121826,0.049540
10.000000,0.068397,0.099622,-0.084488,-0.065497,0.030948,0.023135,0.146064,-0.039717,0.151368,0.061470
11.000000,0.079613,0.103454,-0.020322,-0.048339,0.015557,0.019104,0.082038,-0.021339,0.084768,0.034515
12.000000,0.099234,0.132229,0.033677,0.052299,-0.019864,0.013981,0.093446,-0.024160,0.096519,0.039285
13.000000,0.076558,0.096319,-0.065075,-0.043375,0.019824,0.011590,0.089044,-0.025848,0.092720,0.037744
14.000000,0.066947,0.069109,-0.127386,-0.185326,0.067004,0.017607,-0.054748,0.010343,0.055716,0.022701
15.000000,0.106998,0.112027,-0.001671,-0.070327,0.016478,0.017607,-0.188844,0.049001,0.195098,0.079029
16.000000,0.134889,0.144913,0.074045,0.054258,-0.023588,0.012307,-0.185214,0.048629,0.191492,0.077586
17.000000,0.176069,0.211187,0.150546,0.196748,-0.069338,0.015437,-0.028040,0.011793,0.030419,0.012399
18.000000,0.193954,0.246765,0.086342,0.207606,-0.066580,0.024983,0.202155,-0.048803,0.207962,0.084167
19.000000,0.129747,0.127515,-0.167620,-0.134849,0.059666,0.023274,0.209311,-0.058638,0.217370,0.087916
20.000000,0.153350,0.131987,-0.177108,-0.299278,0.103487,0.041201,-0.053493,0.008236,0.054123,0.022053
21.000000,0.236463,0.213643,0.057268,-0.037434,-0.004332,0.035379,-0.218913,0.058184,0.226513,0.091552
22.000000,0.287626,0.273120,0.156913,0.163869,-0.062736,0.026637,-0.125973,0.035336,0.130835,0.053184
23.000000,0.320137,0.316348,0.117398,0.222483,-0.071862,0.030224,0.099120,-0.021915,0.101514,0.041312
24.000000,0.292022,0.252694,-0.049251,0.071044,-0.013954,0.025936,0.250397,-0.065025,0.258702,0.104289
25.000000,0.257525,0.168818,-0.198533,-0.213812,0.083487,0.026530,0.140234,-0.041971,0.146380,0.059460
26.000000,0.303480,0.202111,-0.100377,-0.214290,0.067345,0.035670,-0.103140,0.023384,0.105758,0.043032
27.000000,0.350476,0.232216,0.021756,-0.086898,0.018271,0.029270,-0.260766,0.066512,0.269115,0.108386
28.000000,0.425974,0.326570,0.237889,0.206212,-0.079064,0.020647,-0.162853,0.047539,0.169650,0.068827
29.000000,0.448003,0.349649,0.107777,0.197086,-0.064013,0.024102,0.065901,-0.013593,0.067288,0.027410
30.000000,0.394543,0.231546,-0.133097,-0.093806,0.041256,0.017208,0.096648,-0.027575,0.100505,0.040902
31.000000,0.417582,0.243261,0.001812,-0.020518,0.002424,0.009683,0.038184,-0.008279,0.039071,0.015924
32.000000,0.438070,0.272299,0.051007,0.099946,-0.038652,0.003511,0.094720,-0.023596,0.097615,0.039730
33.000000,0.402614,0.221081,-0.084927,-0.014114,0.009922,0.000120,0.132749,-0.037158,0.137851,0.056018
34.000000,0.383479,0.189091,-0.104073,-0.120922,0.045336,0.000787,0.045602,-0.014244,0.047775,0.019468
35.000000,0.388124,0.187372,-0.068417,-0.163633,0.054311,0.006320,-0.120266,0.028117,0.123509,0.050221
36.000000,0.418226,0.223715,0.067538,-0.017764,0.001649,0.002468,-0.209527,0.053285,0.216196,0.087448
37.000000,0.435855,0.250351,0.118777,0.087170,-0.029568,-0.001997,-0.159744,0.042028,0.165180,0.067031
38.000000,0.451508,0.278289,0.114250,0.145248,-0.049479,-0.001054,-0.021675,0.009221,0.023555,0.009601
39.000000,0.463506,0.301714,0.063793,0.176224,-0.061722,0.003871,0.164124,-0.038066,0.168481,0.068357
40.000000,0.420045,0.235909,-0.096130,0.021578,-0.004313,0.002439,0.262024,-0.068178,0.270749,0.109028
41.000000,0.384648,0.178834,-0.217441,-0.248756,0.093447,0.010903,0.106230,-0.034137,0.111580,0.045392
42.000000,0.435351,0.226786,-0.107025,-0.266629,0.084500,0.030292,-0.187193,0.044057,0.192308,0.077913
43.000000,0.528149,0.332649,0.223595,0.127464,-0.057909,0.016808,-0.227237,0.062253,0.235610,0.095161
44.000000,0.575553,0.399444,0.174740,0.242103,-0.082448,0.018512,-0.005307,0.005170,0.007409,0.003020
45.000000,0.536415,0.316463,-0.059041,0.050149,-0.007829,0.012931,0.142522,-0.036994,0.147245,0.059808
46.000000,0.515011,0.261101,-0.089979,-0.061767,0.022149,0.005116,0.124916,-0.032237,0.129009,0.052445
47.000000,0.504439,0.237829,-0.087632,-0.133587,0.043900,0.003726,0.006789,-0.004981,0.008420,0.003433
48.000000,0.509254,0.238939,-0.044476,-0.137026,0.046466,0.004901,-0.147302,0.033696,0.151107,0.061365
49.000000,0.546373,0.291451,0.134710,0.070487,-0.026212,-0.002725,-0.165255,0.043762,0.170951,0.069350
