time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.001370,0.001191,0.003019,0.005306,-0.003992,-0.000026,0.003629,-0.000302,0.003642,0.001011
2.000000,-0.011988,-0.007631,-0.043114,-0.071318,0.052970,0.003283,-0.043149,0.002143,0.043202,0.011992
3.000000,-0.006732,0.003231,-0.014350,-0.028122,0.048403,0.004002,-0.087383,0.028781,0.092001,0.025509
4.000000,0.036131,0.018382,0.055954,0.040399,-0.055925,0.005783,-0.069670,0.046697,0.083872,0.023261
5.000000,0.067896,0.023522,0.051116,0.051519,-0.123785,0.008863,-0.020334,0.015262,0.025424,0.007059
6.000000,0.041782,0.038174,0.000515,0.085092,-0.069788,0.006785,0.055296,-0.045906,0.071868,0.019938
7.000000,-0.038084,0.010987,-0.107888,-0.049808,0.164541,0.014355,0.051335,-0.068287,0.085431,0.023692
8.000000,-0.023351,0.007041,-0.036897,-0.077252,0.201376,0.019178,-0.017221,0.019461,0.025986,0.007215
9.000000,0.188944,0.050352,0.233449,0.074930,-0.223528,0.034821,0.005171,0.099602,0.099736,0.027647
10.000000,0.272126,0.035163,0.019886,-0.007883,-0.255204,0.035733,0.026559,-0.024317,0.036010,0.009996
11.000000,0.109212,0.031781,-0.243055,0.005740,0.224451,0.026991,0.028057,-0.134681,0.137572,0.038078
12.000000,0.150679,0.025394,-0.046576,-0.002035,0.352824,0.021087,0.027558,-0.002026,0.027632,0.007672
13.000000,0.362052,-0.006392,0.300481,-0.082175,-0.226089,-0.002774,-0.027794,0.161820,0.164190,0.045385
14.000000,0.565253,0.000792,0.097932,0.005629,-0.444804,-0.014474,-0.051403,0.014339,0.053365,0.014811
15.000000,0.253496,0.006268,-0.423872,0.066898,0.379879,-0.037379,-0.004466,-0.196626,0.196677,0.054259
16.000000,0.594280,-0.043803,0.094187,-0.070672,0.479241,-0.039341,-0.008874,0.055433,0.056139,0.015580
