time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.302195,0.365963,0.161993,0.464435,-0.307784,0.074432,0.287753,-0.044038,0.291103,0.079692
2.000000,0.263012,0.254387,-0.349127,-0.178007,0.194776,0.119941,0.330241,-0.179344,0.375797,0.101906
3.000000,1.442931,0.495585,0.279809,-0.906165,0.388595,0.270018,-0.082004,0.129128,0.152966,0.042308
4.000000,1.438079,0.028857,0.744089,-0.297495,-0.322120,0.137319,-0.557889,0.274428,0.621732,0.161723
5.000000,2.365843,0.046062,-0.049316,0.713865,-0.396421,0.095877,-0.271013,0.029282,0.272590,0.074755
6.000000,1.190372,0.107928,-0.340540,0.502976,0.044776,0.067649,0.326040,-0.187190,0.375955,0.101947
7.000000,0.973406,-0.254775,-0.046402,-0.367660,0.569455,0.086337,0.268246,-0.101690,0.286874,0.078566
8.000000,0.981037,-0.341917,0.450931,-0.345731,-0.144424,0.112203,-0.092065,0.186888,0.208334,0.057429
9.000000,1.344419,-0.334305,0.136706,0.308431,-0.636048,0.104433,-0.049249,0.032056,0.058763,0.016307
10.000000,0.542528,-0.429891,-0.641740,0.184700,0.574668,0.132907,0.185351,-0.286650,0.341355,0.092952
11.000000,1.195964,-0.644553,0.524625,-0.282215,0.384821,0.080771,0.103838,0.096277,0.141604,0.039187
12.000000,0.811034,-0.701358,0.411776,-0.240081,-0.493137,0.102613,-0.159270,0.233365,0.282535,0.077410
13.000000,0.853159,-0.609787,-0.562337,0.135331,-0.328822,0.066744,-0.171352,-0.045216,0.177217,0.048950
14.000000,-0.010352,-0.450292,-0.156560,0.367968,0.252895,-0.006958,0.139288,-0.188690,0.234532,0.064526
15.000000,-0.068232,-0.524501,0.235825,-0.070415,0.440606,-0.042940,0.236649,-0.030311,0.238582,0.065619
16.000000,-0.124579,-0.503977,0.159631,-0.407462,-0.127798,-0.096067,-0.053455,0.188003,0.195455,0.053926
17.000000,0.010762,-0.384739,-0.005621,-0.111329,-0.377311,-0.124375,-0.268865,0.078226,0.280014,0.076738
18.000000,-0.049177,-0.320043,-0.291689,0.193114,0.114435,-0.138984,-0.184559,-0.108927,0.214306,0.059051
19.000000,-0.071131,-0.270594,-0.114700,0.161665,0.345371,-0.135865,-0.014055,-0.035484,0.038166,0.010595
20.000000,0.789452,0.085535,0.559105,0.310733,-0.491814,0.000677,0.265277,0.106248,0.285763,0.078270
21.000000,0.959733,0.136912,-0.240396,0.194436,-0.123717,0.051074,0.426290,-0.258825,0.498712,0.132805
22.000000,0.918959,-0.044617,-0.410413,-0.331599,0.842850,0.111300,0.302784,-0.196133,0.360758,0.098011
23.000000,1.147365,-0.065677,0.528966,-0.622516,-0.460296,0.087184,-0.169209,0.334404,0.374777,0.101643
24.000000,1.373777,-0.037074,-0.318690,-0.165893,-0.251345,-0.088085,-0.450664,0.003679,0.450679,0.120944
25.000000,0.711650,0.225678,-0.056374,0.259845,0.331928,-0.178670,-0.343492,-0.075336,0.351656,0.095642
26.000000,0.667997,0.463560,0.397528,0.273953,0.126841,-0.179792,-0.092334,0.066689,0.113899,0.031557
27.000000,0.922317,0.613108,0.341300,0.222337,-0.415286,-0.101692,0.143476,0.071397,0.160259,0.044308
28.000000,0.786593,0.532138,-0.393915,-0.009604,-0.126312,-0.076523,0.223024,-0.150671,0.269150,0.073834
29.000000,0.406218,0.511445,-0.324979,0.049233,0.298627,-0.096350,0.251802,-0.169664,0.303628,0.083017
30.000000,0.469505,0.448838,-0.000057,-0.055218,0.206553,-0.087026,0.225211,0.001878,0.225219,0.062008
31.000000,0.306713,0.469853,0.083500,-0.359783,-0.015073,-0.124152,-0.023637,0.098759,0.101548,0.028148
32.000000,0.143370,0.509272,0.124035,-0.236667,-0.038218,-0.114312,-0.308219,0.076204,0.317500,0.086684
33.000000,0.043683,0.507635,0.168805,0.089721,-0.002473,-0.085171,-0.334890,0.046472,0.338099,0.092099
34.000000,0.007407,0.546531,0.156568,0.236769,-0.058337,-0.055505,-0.149637,0.033556,0.153353,0.042414
35.000000,0.071180,0.589628,0.078834,0.258719,-0.192114,-0.011312,0.098689,-0.011982,0.099414,0.027558
36.000000,0.001648,0.489310,-0.130413,0.047708,-0.037473,0.003296,0.221612,-0.107273,0.246210,0.067675
37.000000,-0.056890,0.432604,-0.247218,-0.193343,0.325657,0.036794,0.113955,-0.101260,0.152445,0.042165
38.000000,0.189095,0.442355,0.113491,0.016430,0.041827,0.043220,0.042235,0.058642,0.072268,0.020049
39.000000,0.226965,0.381441,0.090979,-0.108970,-0.168193,0.002703,-0.021837,0.068894,0.072272,0.020050
40.000000,0.235202,0.403244,-0.111422,-0.209583,0.023689,0.002989,-0.193186,0.000164,0.193186,0.053308
41.000000,0.210249,0.453412,0.083833,0.141162,0.057924,-0.014989,-0.176553,0.018697,0.177540,0.049038
42.000000,0.300347,0.511021,0.141133,0.235023,-0.114649,-0.002259,0.024861,0.031300,0.039972,0.011096
43.000000,0.322764,0.433798,-0.024436,0.041529,-0.148368,0.000271,0.135838,-0.034625,0.140181,0.038796
44.000000,0.231677,0.379121,-0.187092,-0.092199,0.114802,0.003348,0.090605,-0.094397,0.130844,0.036227
45.000000,0.211360,0.368837,-0.066657,-0.007549,0.209216,-0.001849,0.049844,-0.029535,0.057937,0.016078
46.000000,0.365883,0.362400,0.163179,0.063535,-0.102023,-0.002332,0.084966,0.059835,0.103920,0.028803
47.000000,0.351182,0.339745,-0.041674,-0.206324,-0.083549,-0.015944,-0.024370,0.010767,0.026643,0.007397
48.000000,0.378398,0.429485,-0.127660,-0.312437,0.247249,0.027825,-0.294213,0.006197,0.294278,0.080536
49.000000,0.493945,0.501490,0.378706,0.152938,0.031271,0.028025,-0.308062,0.128321,0.333719,0.090951
50.000000,1.090273,0.737767,0.314706,0.512651,-0.498810,0.092621,0.032027,0.063220,0.070870,0.019661
51.000000,0.896935,0.510880,-0.593165,0.264260,0.021279,0.061767,0.370625,-0.244896,0.444226,0.119328
52.000000,1.158458,0.219101,-0.336407,-0.404333,0.723796,0.042866,0.252088,-0.118311,0.278471,0.076326
53.000000,1.276451,0.150619,0.620102,-0.506163,-0.367617,0.007642,-0.195508,0.295859,0.354621,0.096414
54.000000,2.425941,0.126435,-0.302183,0.316056,-0.522165,-0.147772,-0.306278,-0.036652,0.308463,0.084297
55.000000,0.211330,0.599379,-0.281696,0.472006,0.491069,-0.401286,0.098931,-0.262480,0.280505,0.076869
56.000000,0.237474,0.162861,0.224773,-0.262296,0.580254,-0.341735,0.239681,0.033285,0.241981,0.066536
57.000000,0.540244,0.031150,0.717849,-0.317909,-0.754620,-0.406983,-0.059394,0.289146,0.295183,0.080776
58.000000,0.775609,0.071330,-0.412729,0.063343,-0.086275,-0.400340,-0.228161,-0.176048,0.288185,0.078915
59.000000,0.451958,0.219975,-0.319782,0.023537,0.873040,-0.291997,-0.234480,-0.143725,0.275023,0.075405
60.000000,1.236593,0.345974,1.025603,0.179635,-0.559340,-0.253179,-0.089284,0.283516,0.297242,0.081323
61.000000,2.242948,0.537868,-0.580254,0.210789,-0.223969,-0.162755,-0.024978,-0.169060,0.170895,0.047221
62.000000,0.829158,0.672943,-0.227187,0.177274,0.478581,-0.294918,0.129412,-0.199511,0.237807,0.065410
63.000000,0.794241,0.551286,0.505254,0.036000,0.155120,-0.267682,0.202085,0.065721,0.212503,0.058561
64.000000,0.518941,0.477975,0.283036,-0.283955,-0.183711,-0.281635,0.037012,0.098759,0.105467,0.029230
65.000000,0.255211,0.551343,-0.023462,-0.272533,0.061162,-0.201578,-0.240093,-0.013613,0.240479,0.066130
66.000000,0.041031,0.558932,0.077407,0.081877,0.224817,-0.131787,-0.286022,0.013896,0.286359,0.078429
67.000000,0.063254,0.577137,0.237535,0.205460,-0.072053,-0.070182,-0.126396,0.101952,0.162389,0.044892
68.000000,0.267035,0.585254,0.193340,0.207138,-0.405999,-0.002712,0.072044,0.031701,0.078710,0.021832
69.000000,0.139251,0.514841,-0.243133,0.145479,-0.009163,-0.003904,0.232515,-0.187393,0.298629,0.081691
70.000000,-0.024445,0.411498,-0.294731,-0.037746,0.459228,-0.005936,0.255932,-0.151472,0.297397,0.081364
71.000000,0.238635,0.357552,0.052667,-0.278719,0.145242,-0.012597,0.063415,0.104863,0.122547,0.033942
72.000000,0.201675,0.353914,0.204676,-0.251769,-0.277685,-0.079206,-0.199564,0.155356,0.252906,0.069476
73.000000,0.203355,0.356401,0.013243,0.023800,-0.202998,-0.090674,-0.266088,-0.001853,0.266094,0.073016
74.000000,-0.011473,0.327708,-0.198422,0.066749,0.337106,-0.094076,-0.215834,-0.078782,0.229763,0.063237
75.000000,0.165405,0.415992,0.214749,0.220103,0.090948,-0.069404,-0.057576,0.085363,0.102965,0.028539
76.000000,0.461130,0.442992,0.310258,0.136321,-0.418463,-0.020910,0.102439,0.088428,0.135326,0.037461
77.000000,0.470665,0.389341,-0.230539,0.024312,-0.146119,-0.011463,0.164326,-0.144030,0.218512,0.060191
78.000000,0.109322,0.383891,-0.243025,0.120877,0.317593,-0.056773,0.251420,-0.185784,0.312614,0.085395
79.000000,0.196350,0.295806,-0.046626,-0.131772,0.336659,-0.055789,0.204597,0.003800,0.204632,0.056423
