time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.045757,0.064093,0.105762,0.160439,-0.078259,0.005535,0.109590,-0.018866,0.111202,0.036191
2.000000,-0.004213,-0.004914,-0.142654,-0.183543,0.084860,0.015640,0.053565,-0.032915,0.062870,0.020490
3.000000,0.017180,0.033909,-0.084951,-0.149929,0.097355,0.027734,-0.127238,0.028235,0.130333,0.042384
4.000000,0.098688,0.096897,0.108038,0.092790,-0.055763,0.024430,-0.128219,0.058261,0.140835,0.045778
5.000000,0.154955,0.136941,0.114465,0.166734,-0.124298,0.032090,0.025473,0.006212,0.026220,0.008550
6.000000,0.101260,0.081212,-0.064473,-0.024026,0.014209,0.030428,0.081322,-0.045161,0.093020,0.030292
7.000000,0.081307,0.074499,-0.035828,-0.030304,0.061750,0.025108,0.049612,-0.025435,0.055752,0.018173
8.000000,0.104406,0.077284,0.013701,0.000455,0.013767,0.019617,0.036347,0.001586,0.036382,0.011862
9.000000,0.112025,0.062980,-0.010789,-0.039698,-0.006055,0.015108,0.009401,0.005059,0.010676,0.003482
10.000000,0.101440,0.054889,-0.049722,-0.080132,0.025223,0.013218,-0.062362,0.009797,0.063127,0.020573
11.000000,0.105650,0.067789,-0.010437,-0.023403,0.022621,0.010750,-0.112883,0.026870,0.116037,0.037758
12.000000,0.139808,0.100409,0.077909,0.093953,-0.043498,0.009055,-0.058679,0.026260,0.064287,0.020951
13.000000,0.149921,0.101190,0.046448,0.078296,-0.055459,0.010730,0.035617,-0.005139,0.035986,0.011733
14.000000,0.129507,0.087527,-0.000492,0.032372,-0.015951,0.009449,0.091556,-0.032225,0.097062,0.031604
15.000000,0.102501,0.065480,-0.045214,-0.043409,0.039787,0.008423,0.075763,-0.029863,0.081436,0.026529
16.000000,0.108235,0.069683,-0.010892,-0.021636,0.024682,0.006947,0.041903,-0.008388,0.042734,0.013932
17.000000,0.113132,0.063776,-0.016355,-0.039013,0.009795,0.005433,0.005813,0.003494,0.006782,0.002212
18.000000,0.108816,0.058309,-0.036247,-0.066703,0.021533,0.005059,-0.056633,0.013068,0.058121,0.018944
19.000000,0.118731,0.074875,0.013477,0.006737,-0.000768,0.003182,-0.080982,0.022303,0.083997,0.027361
20.000000,0.132347,0.087753,0.042890,0.058447,-0.030239,0.002443,-0.038043,0.014920,0.040864,0.013323
21.000000,0.118094,0.065927,-0.013288,-0.013611,-0.000072,0.002296,-0.021845,0.002564,0.021995,0.007172
22.000000,0.120316,0.076997,0.023816,0.034225,-0.009799,0.000957,-0.004394,0.000517,0.004424,0.001443
23.000000,0.125488,0.083812,0.030592,0.055570,-0.025203,0.000963,0.048457,-0.009850,0.049448,0.016120
24.000000,0.105436,0.057866,-0.033911,-0.038422,0.014978,0.001501,0.046375,-0.016809,0.049327,0.016080
25.000000,0.102409,0.062182,-0.011131,-0.018775,0.016878,0.001071,0.016780,-0.006549,0.018013,0.005874
26.000000,0.129312,0.094587,0.057438,0.088940,-0.041623,0.001397,0.069335,-0.009819,0.070027,0.022819
27.000000,0.103384,0.056395,-0.052733,-0.057450,0.015514,0.002838,0.068791,-0.023728,0.072768,0.023711
28.000000,0.086728,0.050694,-0.099159,-0.155372,0.086206,0.011338,-0.061911,0.003764,0.062025,0.020215
29.000000,0.119506,0.082492,0.000741,-0.044766,0.033232,0.012628,-0.159471,0.049106,0.166860,0.054165
30.000000,0.168984,0.115755,0.097057,0.087781,-0.063521,0.010870,-0.118469,0.048627,0.128060,0.041650
31.000000,0.193969,0.137862,0.080413,0.127856,-0.089559,0.015529,0.006953,0.001873,0.007201,0.002348
32.000000,0.162585,0.120987,-0.002227,0.063174,-0.021758,0.014867,0.105261,-0.041818,0.113264,0.036859
33.000000,0.134451,0.101845,-0.024019,0.009956,0.026101,0.010720,0.138991,-0.045816,0.146348,0.047557
34.000000,0.118152,0.073075,-0.081235,-0.125059,0.075432,0.013571,0.057769,-0.018931,0.060792,0.019813
35.000000,0.147358,0.094758,-0.003387,-0.044902,0.016998,0.012246,-0.027368,0.016638,0.032029,0.010443
36.000000,0.154567,0.092273,-0.011985,-0.040618,-0.000986,0.008610,-0.074362,0.023791,0.078075,0.025436
37.000000,0.160885,0.102826,0.021119,0.020175,-0.016706,0.005232,-0.078085,0.020584,0.080753,0.026307
38.000000,0.163445,0.109201,0.033431,0.053872,-0.023914,0.003500,-0.032440,0.008565,0.033552,0.010940
39.000000,0.159528,0.105352,0.021707,0.044790,-0.019780,0.002623,0.021579,-0.005965,0.022388,0.007301
40.000000,0.163136,0.114681,0.034420,0.072038,-0.033028,0.002418,0.090122,-0.022195,0.092815,0.030226
41.000000,0.127658,0.071090,-0.087672,-0.110402,0.055306,0.005637,0.046080,-0.023351,0.051659,0.016840
42.000000,0.130239,0.081001,-0.070011,-0.132690,0.080153,0.012932,-0.091861,0.019276,0.093862,0.030566
43.000000,0.192269,0.133754,0.096521,0.078819,-0.042887,0.010490,-0.095593,0.043634,0.105081,0.034206
44.000000,0.238033,0.167994,0.097445,0.152648,-0.107222,0.016711,0.042386,0.000474,0.042389,0.013820
45.000000,0.190444,0.117268,-0.061214,-0.014783,0.005082,0.016146,0.098547,-0.044870,0.108281,0.035244
46.000000,0.161215,0.096825,-0.079836,-0.097151,0.086221,0.017182,0.025699,-0.022628,0.034241,0.011165
47.000000,0.194754,0.114672,0.020454,-0.008974,0.020873,0.013944,-0.022857,0.017917,0.029042,0.009470
48.000000,0.217218,0.112654,0.029360,0.010560,-0.032995,0.009398,-0.019462,0.018142,0.026606,0.008676
49.000000,0.207811,0.101457,-0.009224,-0.009572,-0.016311,0.006096,-0.021244,0.001601,0.021304,0.006947
50.000000,0.190084,0.095363,-0.019895,-0.014889,0.018455,0.003723,-0.035494,0.000208,0.035495,0.011573
51.000000,0.202391,0.113822,0.042024,0.060871,-0.013896,0.001401,-0.000474,0.004385,0.004411,0.001438
52.000000,0.215660,0.120239,0.042145,0.074569,-0.045091,0.002119,0.076822,-0.012718,0.077868,0.025369
53.000000,0.178776,0.075866,-0.086969,-0.109286,0.044836,0.004792,0.034716,-0.021096,0.040623,0.013245
54.000000,0.176311,0.086914,-0.056211,-0.105414,0.070731,0.009693,-0.084371,0.015042,0.085701,0.027915
55.000000,0.211127,0.112353,0.045154,0.012052,-0.002570,0.007034,-0.121783,0.044273,0.129581,0.042141
