time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.026017,0.036077,0.068301,0.101954,-0.049646,0.002005,0.069824,-0.011869,0.070826,0.023079
2.000000,-0.007899,-0.006881,-0.216417,-0.305402,0.145557,0.025751,-0.093309,0.002055,0.093332,0.030393
3.000000,0.083036,0.090080,0.067365,0.023750,0.001973,0.028527,-0.208834,0.069836,0.220202,0.071234
4.000000,0.152212,0.133597,0.136085,0.149457,-0.107156,0.029858,-0.095271,0.047339,0.106384,0.034629
5.000000,0.158842,0.134578,0.051834,0.115178,-0.082023,0.033171,0.047985,-0.017494,0.051074,0.016649
6.000000,0.125296,0.127607,0.006908,0.087529,-0.014555,0.027501,0.156350,-0.058092,0.166793,0.054143
7.000000,0.086101,0.077476,-0.086911,-0.091849,0.082609,0.025341,0.130675,-0.047717,0.139115,0.045222
8.000000,0.101969,0.077559,-0.068911,-0.137004,0.079619,0.028677,-0.002730,0.004423,0.005198,0.001695
9.000000,0.144711,0.101074,0.016389,-0.032685,-0.006872,0.022975,-0.084238,0.037388,0.092162,0.030014
10.000000,0.162796,0.109153,0.033511,0.029809,-0.043585,0.016754,-0.077599,0.025932,0.081817,0.026653
11.000000,0.151344,0.100937,0.004394,0.023843,-0.015597,0.012603,-0.048007,0.005741,0.048349,0.015762
12.000000,0.128792,0.076703,-0.039545,-0.051107,0.040610,0.010791,-0.072218,0.009768,0.072876,0.023745
13.000000,0.133697,0.073009,-0.013060,-0.054445,0.038666,0.009907,-0.131207,0.036238,0.136119,0.044255
14.000000,0.265060,0.218523,0.225486,0.290391,-0.155649,0.024557,0.042355,0.016584,0.045486,0.014829
15.000000,0.296858,0.254787,0.027831,0.236496,-0.121927,0.048632,0.321553,-0.094662,0.335197,0.107280
16.000000,0.215112,0.147849,-0.288178,-0.252773,0.188262,0.058853,0.246905,-0.109663,0.270163,0.087039
17.000000,0.346021,0.206401,-0.161709,-0.339665,0.202647,0.095229,-0.086773,0.024848,0.090261,0.029396
18.000000,0.507693,0.249073,0.179634,0.006694,-0.080701,0.073122,-0.225616,0.107228,0.249801,0.080621
19.000000,0.585707,0.258143,0.152943,0.150065,-0.157567,0.056946,-0.117062,0.043679,0.124945,0.040642
20.000000,0.545054,0.225206,-0.011648,0.111680,-0.038341,0.043078,0.024813,-0.032861,0.041177,0.013425
21.000000,0.492842,0.172656,-0.047145,0.013845,0.052887,0.026205,0.082094,-0.037779,0.090370,0.029432
22.000000,0.478879,0.119803,-0.109527,-0.237499,0.137294,0.033595,-0.070996,0.015477,0.072663,0.023676
23.000000,0.538180,0.143893,0.059239,-0.110948,0.026053,0.031550,-0.246934,0.085957,0.261467,0.084302
24.000000,0.688735,0.287745,0.300348,0.310286,-0.204343,0.038272,-0.082293,0.053535,0.098174,0.031965
25.000000,0.737531,0.351051,0.004291,0.328075,-0.150759,0.063194,0.265278,-0.088764,0.279735,0.090043
26.000000,0.607792,0.193171,-0.264021,-0.046831,0.110511,0.046646,0.369992,-0.139374,0.395372,0.125607
27.000000,0.632736,0.163527,-0.200787,-0.261226,0.197403,0.058512,0.168104,-0.054008,0.176567,0.057284
28.000000,0.722167,0.188003,-0.012578,-0.178005,0.048114,0.056155,-0.065496,0.045926,0.079993,0.026060
29.000000,0.742406,0.187528,0.050420,-0.055349,-0.039127,0.032326,-0.178262,0.061655,0.188623,0.061150
30.000000,0.708028,0.158433,-0.012963,-0.098357,0.028321,0.018824,-0.266868,0.058686,0.273245,0.088007
