time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,-0.018219,-0.036410,-0.095136,-0.121936,0.040820,0.003380,-0.080418,0.018771,0.082580,0.035867
2.000000,0.075066,0.124380,0.221608,0.255465,-0.091688,0.006902,0.029507,-0.003881,0.029761,0.012939
3.000000,0.061789,0.142379,0.058335,0.181700,-0.044450,0.021102,0.271362,-0.069017,0.280001,0.120169
4.000000,-0.006854,0.002508,-0.265923,-0.301845,0.116146,0.030812,0.157478,-0.042482,0.163107,0.070610
5.000000,0.075157,0.089848,-0.077974,-0.212735,0.046215,0.044583,-0.127563,0.033084,0.131783,0.057138
6.000000,0.142333,0.186381,0.119841,0.091868,-0.043795,0.032393,-0.167924,0.039094,0.172415,0.074600
7.000000,0.149385,0.205634,0.076183,0.140546,-0.034039,0.028321,-0.030397,0.006325,0.031048,0.013499
8.000000,0.103733,0.085783,-0.159043,-0.191465,0.070548,0.027800,-0.087969,0.024569,0.091336,0.039660
9.000000,0.168638,0.147325,0.079533,-0.005175,-0.019057,0.021853,-0.182559,0.051352,0.189644,0.081970
10.000000,0.274387,0.328746,0.278060,0.346203,-0.119664,0.031247,0.042811,-0.008664,0.043679,0.018987
11.000000,0.267520,0.342030,0.003600,0.258449,-0.052548,0.046872,0.376111,-0.098299,0.388744,0.164813
12.000000,0.203700,0.158571,-0.350672,-0.278152,0.121277,0.045765,0.311013,-0.083351,0.321988,0.137604
13.000000,0.328125,0.237352,-0.234063,-0.447821,0.125114,0.084806,-0.116780,0.024815,0.119387,0.051790
14.000000,0.476901,0.347644,0.147380,-0.032663,-0.027197,0.064973,-0.349234,0.087380,0.360000,0.153180
15.000000,0.595500,0.484157,0.337732,0.323216,-0.107998,0.051879,-0.147459,0.041195,0.153105,0.066315
16.000000,0.583313,0.406853,0.026281,0.120970,-0.018898,0.041839,0.087837,-0.018486,0.089761,0.038979
17.000000,0.556608,0.262996,-0.179084,-0.223167,0.072558,0.032472,-0.000533,0.003618,0.003657,0.001590
18.000000,0.649425,0.358225,0.164255,0.114011,-0.060274,0.016721,-0.032727,0.011143,0.034572,0.015030
19.000000,0.659688,0.387598,0.055532,0.195643,-0.055975,0.013442,0.150293,-0.042862,0.156285,0.067682
20.000000,0.585941,0.227554,-0.302270,-0.279028,0.113192,0.016092,0.060333,-0.020240,0.063637,0.027653
21.000000,0.666907,0.296314,0.027911,-0.122117,0.019660,0.017580,-0.153784,0.043216,0.159741,0.069165
22.000000,0.841339,0.560496,0.359811,0.450098,-0.160673,0.022292,0.082920,-0.017617,0.084771,0.036817
23.000000,0.724353,0.354815,-0.284716,-0.027447,0.044539,0.017878,0.280034,-0.078127,0.290728,0.124644
24.000000,0.769858,0.314397,-0.332942,-0.465030,0.157344,0.044486,-0.037472,0.007174,0.038153,0.016586
25.000000,0.913243,0.412660,0.182647,-0.113100,-0.004632,0.038345,-0.333280,0.087408,0.344551,0.146875
26.000000,0.971431,0.477697,0.327831,0.169988,-0.059813,0.014344,-0.272627,0.066265,0.280565,0.120404
27.000000,0.992888,0.523346,0.207510,0.221604,-0.056991,0.005793,-0.044238,0.015086,0.046740,0.020316
28.000000,0.987913,0.497830,0.013045,0.171987,-0.054400,-0.000555,0.175294,-0.036599,0.179074,0.077452
29.000000,0.946739,0.430712,-0.150576,0.093013,-0.038132,-0.008105,0.320017,-0.078057,0.329399,0.140657
30.000000,0.872475,0.343538,-0.301428,-0.154002,0.049131,-0.013166,0.264151,-0.070958,0.273516,0.117456
31.000000,0.878957,0.369341,-0.239965,-0.362480,0.117872,0.009207,-0.046870,0.003010,0.046967,0.020415
32.000000,0.944757,0.440953,0.116577,-0.127101,0.028548,0.008897,-0.304116,0.072463,0.312630,0.133738
33.000000,0.988986,0.523081,0.332352,0.171242,-0.052912,-0.009050,-0.251732,0.061895,0.259230,0.111463
34.000000,1.029207,0.623447,0.230729,0.290163,-0.085438,-0.007674,0.021475,-0.000161,0.021476,0.009338
35.000000,0.958296,0.505515,-0.132026,0.049712,-0.012165,-0.014557,0.194032,-0.044988,0.199179,0.086038
36.000000,0.900290,0.411973,-0.272089,-0.329100,0.105454,-0.008030,0.002509,-0.003725,0.004491,0.001953
37.000000,0.948764,0.491993,0.133961,-0.070060,0.006432,-0.012222,-0.201989,0.047723,0.207550,0.089603
38.000000,0.978398,0.588885,0.258824,0.215804,-0.066631,-0.022803,-0.093719,0.019159,0.095657,0.041531
39.000000,0.913519,0.526744,-0.023285,0.082142,-0.011065,-0.027035,0.064063,-0.017007,0.066282,0.028800
40.000000,0.881652,0.496878,-0.047144,0.076015,-0.031260,-0.031922,0.154616,-0.033052,0.158109,0.068465
41.000000,0.860824,0.506524,-0.063483,0.162933,-0.069857,-0.029850,0.300601,-0.072139,0.309136,0.132291
42.000000,0.755129,0.397551,-0.312361,-0.095021,0.028057,-0.029850,0.319137,-0.082781,0.329699,0.140780
43.000000,0.777853,0.428399,-0.363563,-0.556714,0.186988,0.020476,-0.087937,0.009574,0.088457,0.038414
44.000000,0.968902,0.521907,0.154776,-0.405334,0.076287,0.066987,-0.614654,0.154045,0.633663,0.257464
45.000000,1.177953,0.686025,0.874898,0.287474,-0.118173,0.024949,-0.606181,0.158797,0.626635,0.254995
46.000000,1.470891,1.125088,0.774786,0.522416,-0.155149,0.032910,-0.117372,0.049960,0.127562,0.055318
47.000000,1.539836,1.097389,-0.098375,0.341312,-0.099439,0.018150,0.353717,-0.078978,0.362427,0.154167
48.000000,1.390180,0.786292,-0.732583,0.060808,-0.031580,-0.017069,0.561484,-0.141711,0.579091,0.237967
49.000000,1.290826,0.749585,-0.812195,-0.276672,0.076191,-0.033718,0.412682,-0.112901,0.427847,0.180417
50.000000,1.335967,0.924157,-0.373407,-0.462242,0.141431,-0.011597,-0.018841,-0.012096,0.022390,0.009735
51.000000,1.349796,0.940785,0.286734,-0.181743,0.053713,-0.021509,-0.360702,0.076861,0.368800,0.156755
52.000000,1.310231,0.989762,0.603648,0.183492,-0.039241,-0.053942,-0.329415,0.072316,0.337259,0.143887
53.000000,1.161040,0.914841,0.305253,0.054190,0.017272,-0.067867,-0.210625,0.046850,0.215773,0.093098
54.000000,1.043519,0.857816,0.217794,0.047317,-0.005746,-0.073266,-0.157188,0.039791,0.162146,0.070198
