time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,-0.014451,-0.023894,-0.072137,-0.098298,0.038937,0.002769,-0.066375,0.013454,0.067725,0.023609
2.000000,0.020705,0.025549,0.058559,0.060760,-0.023540,0.001729,-0.070676,0.022214,0.074085,0.025823
3.000000,-0.000323,-0.014104,-0.066612,-0.074562,0.026389,0.003229,-0.092892,0.021169,0.095274,0.033188
4.000000,0.034137,0.037881,0.077190,0.088668,-0.034238,0.002367,-0.067334,0.021277,0.070616,0.024616
5.000000,0.097728,0.145021,0.167334,0.264866,-0.105469,0.017890,0.151118,-0.030460,0.154157,0.053569
6.000000,0.029193,0.046259,-0.107270,-0.073762,0.038144,0.021225,0.222621,-0.067146,0.232527,0.080394
7.000000,0.023958,0.036699,-0.133539,-0.217981,0.098443,0.031957,0.040776,-0.019259,0.045095,0.015727
8.000000,0.076462,0.087280,-0.021558,-0.082960,0.026830,0.032397,-0.115298,0.034311,0.120295,0.041867
9.000000,0.113592,0.120349,0.055086,0.056278,-0.035194,0.024350,-0.114754,0.035926,0.120246,0.041850
10.000000,0.124300,0.131373,0.060318,0.095700,-0.042976,0.021304,-0.023842,0.007668,0.025045,0.008737
11.000000,0.099748,0.093434,-0.020590,-0.009186,0.008175,0.017617,0.014259,-0.007827,0.016266,0.005675
12.000000,0.100048,0.089003,0.002840,-0.005967,0.007595,0.013449,0.005916,-0.001770,0.006175,0.002154
13.000000,0.112559,0.100394,0.032570,0.042850,-0.017691,0.010013,0.031945,-0.005188,0.032364,0.011289
14.000000,0.116838,0.106718,0.028855,0.065001,-0.028095,0.008634,0.095366,-0.023030,0.098107,0.034172
15.000000,0.083247,0.058086,-0.089773,-0.103186,0.042944,0.009514,0.055655,-0.020764,0.059402,0.020712
16.000000,0.087404,0.057686,-0.151265,-0.254434,0.102047,0.026254,-0.161748,0.034497,0.165386,0.057436
17.000000,0.177681,0.159980,0.146135,0.097818,-0.048394,0.021064,-0.212135,0.065843,0.222118,0.076856
18.000000,0.253275,0.255825,0.185453,0.266579,-0.117780,0.032373,0.012594,0.007094,0.014455,0.005043
19.000000,0.249992,0.258470,0.026066,0.193753,-0.063540,0.041454,0.263008,-0.073565,0.273103,0.094099
20.000000,0.187250,0.144199,-0.194314,-0.163611,0.092948,0.037304,0.239157,-0.076859,0.251204,0.086720
21.000000,0.241023,0.166927,-0.195484,-0.348282,0.144310,0.064047,-0.068906,0.010701,0.069732,0.024308
22.000000,0.354351,0.237736,0.059567,-0.081306,0.000604,0.056369,-0.280960,0.085461,0.293670,0.100988
23.000000,0.451336,0.319267,0.245815,0.220376,-0.114169,0.043629,-0.166506,0.056073,0.175694,0.060980
24.000000,0.503885,0.374765,0.122709,0.270196,-0.102188,0.049867,0.115250,-0.030066,0.119107,0.041455
25.000000,0.439061,0.243033,-0.154425,-0.046474,0.044842,0.036241,0.206968,-0.066826,0.217489,0.075280
26.000000,0.445303,0.205087,-0.145139,-0.207513,0.096928,0.036369,0.045121,-0.017600,0.048432,0.016890
27.000000,0.498763,0.228021,0.001938,-0.099234,0.027473,0.030181,-0.116800,0.036016,0.122227,0.042536
