time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.026978,0.044967,0.083557,0.117382,-0.046690,0.001874,0.079277,-0.016055,0.080886,0.028188
2.000000,-0.015779,-0.020038,-0.101036,-0.119179,0.047843,0.005675,0.052875,-0.020195,0.056600,0.019736
3.000000,-0.004467,-0.001550,-0.056477,-0.104497,0.044887,0.010115,-0.072596,0.016210,0.074384,0.025927
4.000000,0.040501,0.055329,0.075720,0.080886,-0.034918,0.007852,-0.066088,0.023636,0.070187,0.024467
5.000000,0.053072,0.072741,0.059233,0.107788,-0.048456,0.010618,0.043993,-0.007987,0.044712,0.015594
6.000000,0.019215,0.026731,-0.048335,-0.041752,0.018895,0.010566,0.065474,-0.022476,0.069224,0.024131
7.000000,0.013632,0.019808,-0.042003,-0.076008,0.036401,0.010974,-0.005190,-0.001881,0.005520,0.001926
8.000000,0.017188,0.015392,-0.078961,-0.128871,0.049901,0.014556,-0.126743,0.031325,0.130557,0.045419
9.000000,0.045698,0.044112,-0.008519,-0.039577,0.008744,0.013017,-0.212311,0.057592,0.219984,0.076129
10.000000,0.125904,0.158735,0.202258,0.245082,-0.105457,0.018897,-0.064576,0.027957,0.070368,0.024529
11.000000,0.167063,0.237841,0.116966,0.274659,-0.102268,0.041388,0.230190,-0.058239,0.237443,0.082062
12.000000,0.093753,0.123750,-0.138030,-0.068316,0.053128,0.037412,0.307857,-0.093400,0.321713,0.110312
13.000000,0.103720,0.109126,-0.196308,-0.297118,0.137465,0.054150,0.074037,-0.030398,0.080034,0.027892
14.000000,0.194277,0.175114,-0.037602,-0.139947,0.038320,0.056271,-0.156018,0.047628,0.163126,0.056659
15.000000,0.254831,0.214773,0.099816,0.071133,-0.050910,0.039761,-0.170483,0.052819,0.178478,0.061936
16.000000,0.277501,0.228713,0.097486,0.132854,-0.059014,0.032833,-0.047165,0.014016,0.049204,0.017159
17.000000,0.242241,0.160633,-0.046339,-0.039568,0.023351,0.025136,-0.011972,-0.003215,0.012396,0.004325
18.000000,0.253900,0.160786,0.023887,0.003137,0.004486,0.017264,-0.028119,0.008898,0.029493,0.010288
19.000000,0.287377,0.195635,0.085477,0.121688,-0.051799,0.013021,0.055011,-0.007596,0.055533,0.019364
20.000000,0.250513,0.134781,-0.077939,-0.053991,0.019402,0.010432,0.074801,-0.024451,0.078696,0.027427
21.000000,0.241488,0.122691,-0.065499,-0.105300,0.046955,0.010642,-0.021042,0.000380,0.021045,0.007342
22.000000,0.269984,0.154953,0.048055,0.025720,-0.009515,0.006278,-0.052365,0.017497,0.055211,0.019252
23.000000,0.287878,0.175172,0.060613,0.097010,-0.043783,0.004590,0.024876,-0.001810,0.024942,0.008701
24.000000,0.271354,0.155353,-0.005265,0.046050,-0.019715,0.003818,0.100676,-0.027496,0.104363,0.036344
25.000000,0.241455,0.117702,-0.067531,-0.067730,0.031720,0.003058,0.076228,-0.025006,0.080225,0.027958
26.000000,0.234781,0.107415,-0.076980,-0.134760,0.057545,0.007400,-0.045697,0.008039,0.046399,0.016182
