time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.011591,0.022830,0.044321,0.057673,-0.019363,0.000075,0.038081,-0.008871,0.039101,0.016998
2.000000,-0.001046,0.006124,-0.004546,0.007995,-0.000456,0.000790,0.071119,-0.017771,0.073306,0.031847
3.000000,-0.008206,-0.007132,-0.022392,-0.031619,0.010107,0.001121,0.054068,-0.013324,0.055686,0.024201
4.000000,-0.009177,-0.009830,-0.024322,-0.044333,0.012657,0.001556,0.009564,-0.003056,0.010040,0.004366
5.000000,-0.001171,0.005217,0.002352,-0.003341,0.000041,0.001062,-0.013983,0.002551,0.014214,0.006180
6.000000,-0.008475,-0.007523,-0.036540,-0.040076,0.014899,0.001456,-0.042037,0.009413,0.043078,0.018726
7.000000,-0.002320,-0.003229,-0.018915,-0.030105,0.009126,0.001529,-0.081182,0.020341,0.083692,0.036349
8.000000,0.015063,0.024231,0.042657,0.046509,-0.016683,0.000812,-0.064933,0.016801,0.067071,0.029143
9.000000,0.026724,0.050799,0.067768,0.100575,-0.031320,0.002562,0.023848,-0.004882,0.024343,0.010584
10.000000,0.022856,0.052749,0.042502,0.083729,-0.024200,0.005015,0.127425,-0.030304,0.130979,0.056791
11.000000,-0.009362,-0.003572,-0.067590,-0.077943,0.027914,0.005982,0.116064,-0.028946,0.119619,0.051890
12.000000,-0.009210,-0.009911,-0.076982,-0.133557,0.039299,0.009803,-0.009652,0.001175,0.009723,0.004228
13.000000,0.016224,0.031293,0.000277,-0.025816,0.003274,0.008577,-0.090853,0.020700,0.093181,0.040460
14.000000,0.028743,0.057594,0.032740,0.052320,-0.014634,0.006432,-0.068596,0.015887,0.070412,0.030592
15.000000,0.022924,0.045555,0.004384,0.023182,-0.003448,0.005646,-0.028026,0.008060,0.029162,0.012679
16.000000,0.023725,0.039008,0.011084,0.009391,-0.004303,0.004670,-0.010636,0.004686,0.011623,0.005054
17.000000,0.031948,0.053024,0.040838,0.047202,-0.017799,0.003879,0.025020,-0.005426,0.025602,0.011131
18.000000,0.012548,0.022611,-0.037224,-0.035329,0.013842,0.003916,0.024401,-0.007150,0.025427,0.011055
19.000000,0.013208,0.018673,-0.032020,-0.050578,0.015675,0.004045,-0.025975,0.006287,0.026725,0.011620
20.000000,0.049643,0.082923,0.099229,0.115470,-0.041032,0.003381,0.025864,-0.005425,0.026427,0.011490
21.000000,0.033225,0.068606,0.013391,0.059989,-0.013893,0.005426,0.120927,-0.030728,0.124770,0.054113
22.000000,-0.000189,0.003948,-0.118392,-0.141715,0.050314,0.008466,0.056096,-0.014562,0.057955,0.025187
23.000000,0.020807,0.024855,-0.062931,-0.131875,0.034534,0.013093,-0.098903,0.024358,0.101858,0.044215
24.000000,0.058498,0.086913,0.063248,0.048754,-0.021687,0.009343,-0.129877,0.030906,0.133504,0.057879
25.000000,0.071131,0.119053,0.075835,0.121923,-0.034161,0.009604,-0.025792,0.006326,0.026556,0.011546
26.000000,0.051756,0.082385,-0.008232,0.023060,-0.001568,0.009317,0.048077,-0.009923,0.049090,0.021337
27.000000,0.047944,0.064314,-0.008478,-0.019544,0.003233,0.007644,0.046189,-0.009395,0.047135,0.020488
28.000000,0.043501,0.054963,-0.020857,-0.041490,0.010279,0.006481,0.009363,-0.003392,0.009958,0.004330
