time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,-0.005826,-0.003665,-0.015071,-0.022138,0.019672,0.000596,-0.014467,0.001497,0.014544,0.004363
2.000000,0.010481,0.009611,0.023429,0.029755,-0.019114,0.001332,-0.000957,0.008343,0.008398,0.002519
3.000000,0.046037,0.034300,0.059609,0.079423,-0.094890,0.006787,0.058398,-0.007070,0.058824,0.017637
4.000000,0.019821,0.018439,-0.029500,-0.005084,-0.009940,0.009885,0.076183,-0.050191,0.091230,0.027331
5.000000,-0.022991,0.016372,-0.110529,-0.091033,0.175123,0.024618,0.016502,-0.043423,0.046453,0.013931
6.000000,0.007403,0.024545,-0.031283,-0.096800,0.158836,0.026012,-0.067424,0.050708,0.084364,0.025279
7.000000,0.131671,0.040140,0.166213,0.002624,-0.182325,0.027619,-0.091783,0.115258,0.147338,0.044042
8.000000,0.243248,0.055163,0.100556,0.096598,-0.329442,0.030250,-0.032117,0.007565,0.032996,0.009897
9.000000,0.043972,0.046834,-0.199739,0.095799,0.158084,0.003305,0.056584,-0.151292,0.161527,0.048248
10.000000,-0.012703,0.033813,-0.075969,0.039395,0.371225,-0.014459,0.104047,-0.052614,0.116593,0.034899
11.000000,0.192128,-0.014539,0.226778,-0.102664,-0.100326,-0.051350,0.049904,0.126789,0.136257,0.040751
12.000000,0.257556,0.005787,0.096763,-0.153645,-0.296735,-0.076304,-0.071056,0.057357,0.091317,0.027357
13.000000,0.210603,0.038380,-0.232167,-0.003716,0.069372,-0.081931,-0.117512,-0.082749,0.143724,0.042969
14.000000,0.128639,0.084005,-0.103102,0.103569,0.284857,-0.085836,-0.059627,-0.031481,0.067427,0.020213
15.000000,0.352036,0.106195,0.235326,0.070970,-0.068355,-0.066466,0.014684,0.099138,0.100220,0.030016
16.000000,0.597158,0.157993,0.229642,0.106323,-0.439246,-0.024375,0.097573,0.026785,0.101183,0.030303
17.000000,0.451770,0.135975,-0.371296,0.009931,0.150577,-0.013916,0.131727,-0.192054,0.232888,0.069237
18.000000,0.501641,0.082988,-0.188540,-0.155222,0.600677,0.016008,0.055492,-0.052263,0.076228,0.022846
19.000000,0.830494,0.035718,0.561994,-0.144233,-0.432804,-0.024025,-0.078967,0.255407,0.267336,0.079249
20.000000,1.190517,0.048097,-0.203020,-0.034751,-0.406178,-0.060680,-0.131791,-0.031820,0.135578,0.040549
21.000000,0.336099,0.145923,-0.368718,0.119720,0.515004,-0.162488,-0.070080,-0.199990,0.211913,0.063099
22.000000,0.758406,0.190099,0.444547,0.110169,0.251686,-0.164287,0.029645,0.092891,0.097507,0.029206
23.000000,0.836530,0.223841,0.463402,-0.060839,-0.443925,-0.183525,0.029532,0.159096,0.161814,0.048333
24.000000,0.882762,0.253412,-0.320413,-0.069512,-0.207586,-0.164837,-0.022813,-0.090972,0.093789,0.028095
25.000000,0.468591,0.318660,-0.329383,0.057308,0.386818,-0.181248,-0.013927,-0.148941,0.149591,0.044710
26.000000,0.655762,0.387940,0.252932,0.129744,0.131323,-0.146797,0.068131,0.062718,0.092603,0.027741
27.000000,0.704590,0.371501,0.272143,-0.037630,-0.323969,-0.147024,0.086869,0.091453,0.126134,0.037740
28.000000,0.619366,0.400672,-0.238600,-0.152365,-0.083302,-0.115755,-0.008756,-0.074170,0.074685,0.022385
29.000000,0.436200,0.445615,-0.230483,-0.104638,0.393989,-0.071350,-0.114737,-0.075574,0.137390,0.041087
30.000000,0.622004,0.475743,0.340256,0.068330,0.076375,-0.047184,-0.111394,0.124571,0.167112,0.049901
31.000000,0.830655,0.492739,0.362521,0.118479,-0.455604,-0.025104,-0.021033,0.113189,0.115127,0.034462
32.000000,0.803654,0.426709,-0.396610,0.015101,-0.051020,-0.032448,0.034821,-0.129015,0.133631,0.039970
33.000000,0.503546,0.415213,-0.218274,0.046268,0.354099,-0.071874,0.059225,-0.115004,0.129358,0.038699
34.000000,0.611596,0.341577,0.191030,-0.069763,0.196529,-0.085271,0.027697,0.072377,0.077496,0.023225
35.000000,0.605273,0.310109,0.296703,-0.124467,-0.250477,-0.126422,-0.066116,0.138055,0.153070,0.045742
36.000000,0.643273,0.310505,0.010633,0.029850,-0.330671,-0.121548,-0.073172,-0.010827,0.073969,0.022170
37.000000,0.326325,0.304876,-0.314675,0.112021,0.231038,-0.159825,0.005216,-0.157843,0.157929,0.047182
