time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.022418,0.037374,0.071709,0.100357,-0.039897,0.001262,0.067803,-0.013716,0.069176,0.024115
2.000000,-0.018547,-0.025806,-0.112061,-0.137954,0.055203,0.005829,0.020902,-0.012295,0.024250,0.008459
3.000000,-0.000630,0.000654,-0.050613,-0.097728,0.041304,0.010272,-0.108569,0.026344,0.111719,0.038895
4.000000,0.038279,0.047068,0.059356,0.058989,-0.026973,0.007796,-0.113600,0.035105,0.118900,0.041384
5.000000,0.036550,0.038044,0.011625,0.031457,-0.018125,0.007409,-0.064852,0.017823,0.067257,0.023446
6.000000,0.028506,0.027584,-0.000874,0.003488,-0.000711,0.006255,-0.047836,0.010634,0.049004,0.017089
7.000000,0.109920,0.162778,0.197142,0.284329,-0.109046,0.017605,0.144404,-0.027647,0.147027,0.051109
8.000000,0.045839,0.068690,-0.096240,-0.044224,0.025572,0.021569,0.244824,-0.071112,0.254943,0.087983
9.000000,0.036750,0.049979,-0.193722,-0.296899,0.130093,0.039885,0.023803,-0.018520,0.030159,0.010520
10.000000,0.117273,0.125902,-0.018777,-0.109967,0.032267,0.044127,-0.185944,0.054283,0.193705,0.067157
11.000000,0.186378,0.191541,0.139320,0.139040,-0.073908,0.034162,-0.141192,0.047499,0.148968,0.051779
12.000000,0.203103,0.206070,0.083375,0.153406,-0.065743,0.034464,0.026546,-0.005775,0.027167,0.009477
13.000000,0.151772,0.115339,-0.111570,-0.117265,0.057701,0.030091,0.018577,-0.015321,0.024080,0.008400
14.000000,0.199635,0.166059,0.083097,0.074986,-0.023480,0.021676,0.014426,0.001929,0.014554,0.005077
15.000000,0.225419,0.189412,0.062443,0.134580,-0.057617,0.020020,0.138859,-0.030576,0.142185,0.049438
16.000000,0.171631,0.096999,-0.220593,-0.260485,0.107774,0.027597,0.025592,-0.020767,0.032958,0.011496
17.000000,0.234027,0.161462,0.003726,-0.086658,0.033774,0.030082,-0.152414,0.041713,0.158019,0.054900
18.000000,0.299508,0.225577,0.151981,0.146318,-0.068653,0.022129,-0.093080,0.034777,0.099365,0.034609
19.000000,0.304730,0.220595,0.046926,0.120114,-0.053049,0.021762,0.055323,-0.013465,0.056938,0.019854
20.000000,0.273477,0.173241,-0.040981,0.007652,0.004857,0.016062,0.115538,-0.035725,0.120935,0.042089
21.000000,0.252114,0.133364,-0.089711,-0.123061,0.057630,0.015118,0.035974,-0.014804,0.038901,0.013568
22.000000,0.276322,0.152753,0.000444,-0.043069,0.016025,0.011906,-0.049877,0.015606,0.052261,0.018224
23.000000,0.304575,0.183318,0.067412,0.082083,-0.039338,0.006989,-0.014428,0.008977,0.016993,0.005928
24.000000,0.287540,0.158071,-0.011019,0.023157,-0.011832,0.004614,0.039148,-0.012034,0.040956,0.014284
25.000000,0.254140,0.106644,-0.134211,-0.198870,0.084012,0.011357,-0.083550,0.012071,0.084417,0.029416
26.000000,0.302874,0.161812,0.073276,0.000732,0.000062,0.009150,-0.174664,0.050156,0.181723,0.063050
27.000000,0.381617,0.264034,0.196126,0.245058,-0.107323,0.013978,-0.009164,0.014810,0.017416,0.006076
28.000000,0.344424,0.205538,-0.043861,0.055739,-0.021519,0.016484,0.141285,-0.041948,0.147381,0.051232
29.000000,0.329113,0.189723,-0.021856,0.044237,-0.006011,0.010010,0.196085,-0.054164,0.203428,0.070483
30.000000,0.328254,0.189191,-0.013938,0.065799,-0.020810,0.005523,0.260240,-0.065926,0.268461,0.092538
31.000000,0.297593,0.137930,-0.301666,-0.403172,0.167880,0.032858,0.020003,-0.021958,0.029703,0.010361
32.000000,0.484824,0.268655,-0.106754,-0.462855,0.125885,0.091253,-0.459192,0.124322,0.475724,0.159779
33.000000,0.702499,0.419335,0.578475,0.252594,-0.155215,0.059140,-0.488196,0.148848,0.510383,0.170430
34.000000,1.149321,0.843281,0.467134,0.661678,-0.257370,0.104711,0.064862,0.001138,0.064872,0.022616
35.000000,1.049769,0.544223,-0.377966,0.101045,0.029384,0.070002,0.431787,-0.136729,0.452918,0.152665
36.000000,1.087109,0.428101,-0.458456,-0.356800,0.187878,0.054047,0.232509,-0.078301,0.245340,0.084737
37.000000,1.226648,0.485353,-0.056298,-0.237275,0.063705,0.045992,-0.090351,0.032754,0.096105,0.033477
38.000000,1.259691,0.501751,0.192420,0.069099,-0.054665,0.003573,-0.152212,0.045925,0.158989,0.055234
39.000000,1.274538,0.577336,0.137804,0.283817,-0.114306,-0.011287,0.070134,-0.015533,0.071834,0.025039
40.000000,1.139948,0.445124,-0.222556,-0.020481,0.019265,-0.027162,0.188846,-0.059863,0.198107,0.068663
41.000000,1.068965,0.412879,-0.183197,-0.260342,0.114765,-0.024211,0.006556,-0.011200,0.012978,0.004527
42.000000,1.060941,0.442672,0.087840,-0.152877,0.056940,-0.022947,-0.216078,0.057530,0.223605,0.077362
43.000000,1.015116,0.426050,0.176479,-0.090077,0.035221,-0.032217,-0.349281,0.087444,0.360061,0.122920
44.000000,1.033943,0.543192,0.393690,0.226903,-0.084429,-0.040805,-0.239584,0.067534,0.248920,0.085948
45.000000,1.093364,0.697250,0.179800,0.369288,-0.148777,-0.021147,0.111093,-0.020437,0.112957,0.039324
46.000000,0.990749,0.587427,-0.262010,0.176503,-0.064796,-0.016931,0.401522,-0.109441,0.416170,0.141036
47.000000,0.872581,0.467059,-0.419837,-0.111584,0.047689,-0.029011,0.411448,-0.113676,0.426863,0.144440
48.000000,0.903384,0.548046,-0.374552,-0.508937,0.211147,0.010613,0.026191,-0.024678,0.035986,0.012552
49.000000,1.024247,0.632234,0.190874,-0.151081,0.033027,0.011118,-0.308157,0.088326,0.320565,0.109932
50.000000,1.073617,0.692258,0.410189,0.208986,-0.099635,-0.019908,-0.236382,0.069068,0.246266,0.085050
51.000000,1.000165,0.636378,0.096853,0.085567,-0.022258,-0.035242,-0.083106,0.012591,0.084054,0.029290
52.000000,0.913495,0.576723,0.026770,0.019121,0.007017,-0.048448,-0.031372,0.004136,0.031643,0.011038
53.000000,0.832474,0.526240,0.012460,-0.048657,0.022442,-0.053450,-0.056026,0.012640,0.057434,0.020026
54.000000,0.785200,0.532318,0.088994,0.053289,-0.022801,-0.056163,-0.043480,0.012519,0.045246,0.015780
55.000000,0.830977,0.652591,0.101014,0.345873,-0.147930,-0.036442,0.213020,-0.043827,0.217482,0.075277
56.000000,0.676899,0.470426,-0.379673,-0.129079,0.049261,-0.032490,0.289375,-0.087443,0.302298,0.103865
57.000000,0.687982,0.510991,-0.254140,-0.412980,0.177049,0.001850,-0.042140,-0.005284,0.042470,0.014812
58.000000,0.779377,0.576521,0.231987,-0.029527,-0.000621,-0.004391,-0.253124,0.075167,0.264049,0.091053
59.000000,0.814813,0.614445,0.261474,0.181553,-0.086176,-0.019370,-0.144842,0.043855,0.151336,0.052596
60.000000,0.764735,0.564075,0.029907,0.099224,-0.035939,-0.026036,0.005605,-0.007514,0.009374,0.003270
61.000000,0.696791,0.497037,-0.049953,0.003442,0.008004,-0.034043,0.054122,-0.018884,0.057322,0.019987
62.000000,0.657854,0.473602,-0.013783,0.019525,-0.007848,-0.038668,0.069245,-0.016274,0.071132,0.024795
63.000000,0.597261,0.424870,-0.079630,-0.083634,0.028156,-0.038367,0.022598,-0.009597,0.024551,0.008565
64.000000,0.568353,0.427075,0.011407,-0.014249,0.006581,-0.038491,-0.025640,0.004796,0.026085,0.009099
65.000000,0.516394,0.383646,-0.037556,-0.114871,0.049555,-0.034019,-0.109990,0.021928,0.112155,0.039046
66.000000,0.528156,0.429113,0.148521,0.093287,-0.032703,-0.034494,-0.101288,0.029944,0.105622,0.036780
67.000000,0.570267,0.506367,0.128312,0.260556,-0.111218,-0.020410,0.116264,-0.021143,0.118171,0.041131
68.000000,0.489771,0.400019,-0.172273,0.011127,-0.006214,-0.016705,0.245437,-0.070489,0.255359,0.088123
69.000000,0.451943,0.357270,-0.255194,-0.318325,0.140995,0.001269,0.038235,-0.025529,0.045974,0.016034
70.000000,0.523561,0.413031,0.044393,-0.146683,0.053417,0.010403,-0.206457,0.057365,0.214278,0.074186
71.000000,0.584799,0.462125,0.233588,0.128687,-0.065851,-0.003550,-0.187340,0.058157,0.196159,0.067997
72.000000,0.557152,0.411619,0.051775,0.036966,-0.016840,-0.010488,-0.102935,0.022415,0.105347,0.036685
73.000000,0.534853,0.388588,0.054694,0.041037,-0.007517,-0.017367,-0.058587,0.012735,0.059955,0.020904
74.000000,0.568087,0.444987,0.118020,0.207081,-0.082140,-0.015609,0.099161,-0.017616,0.100714,0.035077
75.000000,0.569371,0.450707,-0.051312,0.223133,-0.091728,-0.002960,0.344078,-0.086357,0.354749,0.121184
76.000000,0.476653,0.323019,-0.377347,-0.261094,0.117468,0.001826,0.271567,-0.086741,0.285084,0.098117
77.000000,0.573601,0.408546,-0.193484,-0.403157,0.160972,0.042140,-0.114415,0.020622,0.116259,0.040468
78.000000,0.689990,0.460679,0.205649,-0.056571,-0.004992,0.028510,-0.336248,0.098632,0.350415,0.119765
79.000000,0.739967,0.480312,0.288148,0.131325,-0.068938,0.006277,-0.271718,0.077269,0.282491,0.097249
80.000000,0.771950,0.523483,0.207171,0.212365,-0.083492,0.000008,-0.068079,0.020004,0.070957,0.024734
81.000000,0.766273,0.517747,0.020995,0.197969,-0.071158,-0.003100,0.162140,-0.041834,0.167450,0.058146
82.000000,0.683111,0.395571,-0.216654,-0.095521,0.044881,-0.012551,0.190228,-0.057667,0.198777,0.068892
83.000000,0.672844,0.395970,-0.081343,-0.066353,0.026109,-0.018824,0.101973,-0.026652,0.105398,0.036703
84.000000,0.647467,0.381515,-0.057828,-0.071691,0.022790,-0.023664,0.023581,-0.007529,0.024754,0.008635
85.000000,0.621672,0.374604,-0.016144,-0.046030,0.017252,-0.027280,-0.040388,0.007712,0.041118,0.014341
86.000000,0.602325,0.376249,0.041275,0.018443,-0.005310,-0.030701,-0.049565,0.012439,0.051102,0.017820
87.000000,0.550828,0.323940,-0.046565,-0.126412,0.053635,-0.027628,-0.126629,0.025998,0.129270,0.044974
88.000000,0.560423,0.362368,0.137317,0.050915,-0.014434,-0.029435,-0.151934,0.041585,0.157522,0.054729
89.000000,0.563985,0.387222,0.119163,0.128091,-0.053356,-0.027409,-0.042862,0.015304,0.045512,0.015873
90.000000,0.503360,0.316617,-0.063566,-0.059426,0.024569,-0.025985,-0.023769,-0.000503,0.023774,0.008293
91.000000,0.554709,0.416801,0.149888,0.233813,-0.091707,-0.021905,0.106080,-0.018514,0.107683,0.037496
92.000000,0.578537,0.462441,-0.041247,0.291706,-0.114690,0.002766,0.408290,-0.101659,0.420756,0.142498
93.000000,0.486577,0.324473,-0.501449,-0.391321,0.180719,0.017769,0.277903,-0.093912,0.293342,0.100878
94.000000,0.667072,0.464840,-0.138115,-0.385338,0.136646,0.060858,-0.156192,0.039105,0.161013,0.055931
95.000000,0.775042,0.471546,0.200758,-0.138344,0.012504,0.041148,-0.421909,0.119320,0.438457,0.148112
96.000000,0.831289,0.485312,0.400083,0.106248,-0.059982,0.010374,-0.410280,0.113374,0.425656,0.144057
97.000000,0.937894,0.634585,0.408991,0.323674,-0.130674,0.006798,-0.142108,0.046506,0.149524,0.051971
98.000000,0.913177,0.592521,0.001694,0.168017,-0.055462,-0.000676,0.119515,-0.034793,0.124476,0.043315
99.000000,0.856263,0.511584,-0.144217,0.082080,-0.026081,-0.017285,0.252853,-0.067346,0.261668,0.090251
100.000000,0.807854,0.467527,-0.175145,0.074380,-0.037373,-0.027605,0.342889,-0.086574,0.353649,0.120824
