time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,-0.003848,-0.007157,-0.016644,-0.021973,0.007848,0.000263,-0.014671,0.003240,0.015025,0.006125
2.000000,-0.002327,-0.006646,-0.013031,-0.021300,0.007233,0.000381,-0.039311,0.009640,0.040476,0.016496
3.000000,0.009693,0.012312,0.028934,0.034927,-0.012807,-0.000012,-0.026089,0.007482,0.027141,0.011063
4.000000,0.017282,0.028332,0.045865,0.070902,-0.024623,0.001036,0.037802,-0.008222,0.038686,0.015767
5.000000,0.007726,0.017688,0.012134,0.031494,-0.009741,0.002043,0.092427,-0.023060,0.095260,0.038775
6.000000,-0.017257,-0.023879,-0.080919,-0.111031,0.040502,0.004646,0.033191,-0.010832,0.034914,0.014230
7.000000,-0.005929,-0.010306,-0.060312,-0.107554,0.035087,0.008322,-0.091065,0.021590,0.093589,0.038096
8.000000,0.019638,0.025752,0.012255,0.001409,-0.003695,0.006562,-0.140912,0.035981,0.145433,0.059078
9.000000,0.055724,0.087729,0.113701,0.155186,-0.055101,0.008158,-0.036511,0.012627,0.038633,0.015745
10.000000,0.038803,0.066714,0.020810,0.067462,-0.019466,0.011038,0.081974,-0.020107,0.084404,0.034367
11.000000,0.021642,0.037390,-0.017632,-0.016437,0.007642,0.009676,0.102746,-0.026107,0.106011,0.043135
12.000000,0.018268,0.030730,-0.016045,-0.036007,0.011522,0.008274,0.070702,-0.018650,0.073120,0.029781
13.000000,0.010706,0.018234,-0.060456,-0.086037,0.030101,0.008875,-0.003810,-0.001600,0.004132,0.001685
14.000000,0.034148,0.054349,0.026260,0.024619,-0.009910,0.006556,-0.028178,0.007681,0.029206,0.011904
15.000000,0.025763,0.039137,-0.019433,-0.014748,0.006162,0.005536,-0.026281,0.005963,0.026949,0.010985
16.000000,0.015058,0.014273,-0.073855,-0.103484,0.036597,0.007288,-0.102100,0.024245,0.104939,0.042700
17.000000,0.048616,0.060030,0.054634,0.038166,-0.017113,0.005115,-0.125532,0.033877,0.130023,0.052855
18.000000,0.088662,0.130666,0.135545,0.187225,-0.067074,0.009858,0.017423,-0.000481,0.017430,0.007105
19.000000,0.076384,0.124200,0.035365,0.118167,-0.035204,0.015731,0.184404,-0.046385,0.190148,0.077049
20.000000,0.029629,0.042522,-0.124269,-0.139957,0.056600,0.016799,0.146283,-0.040950,0.151907,0.061688
21.000000,0.046685,0.056261,-0.089687,-0.171776,0.056470,0.023670,-0.034641,0.006548,0.035254,0.014369
22.000000,0.091344,0.114710,0.040333,0.015205,-0.012777,0.018488,-0.105618,0.027513,0.109143,0.044404
23.000000,0.100177,0.126987,0.038423,0.066899,-0.022429,0.014506,-0.053466,0.013702,0.055194,0.022489
24.000000,0.090414,0.105231,0.002081,0.017833,-0.003177,0.011748,-0.009721,0.003032,0.010183,0.004151
25.000000,0.080537,0.078473,-0.027549,-0.049929,0.016861,0.009816,-0.034436,0.008905,0.035569,0.014497
26.000000,0.099062,0.102701,0.043612,0.034489,-0.015226,0.006844,-0.035068,0.010230,0.036530,0.014888
27.000000,0.111714,0.127279,0.061313,0.099396,-0.034748,0.006657,0.047473,-0.010838,0.048694,0.019843
28.000000,0.091543,0.098539,-0.016436,0.019388,-0.003193,0.006415,0.107400,-0.027933,0.110973,0.045146
29.000000,0.079658,0.078267,-0.032039,-0.035441,0.013374,0.005383,0.092793,-0.024134,0.095880,0.039026
30.000000,0.066125,0.053050,-0.094196,-0.142553,0.049622,0.009268,-0.019017,0.001705,0.019093,0.007783
31.000000,0.085938,0.076322,-0.048332,-0.102609,0.032211,0.012074,-0.154621,0.037745,0.159161,0.064609
32.000000,0.134336,0.147737,0.117609,0.117024,-0.044875,0.008638,-0.124805,0.034757,0.129554,0.052666
33.000000,0.160598,0.196774,0.116051,0.189923,-0.064824,0.015173,0.057062,-0.011058,0.058124,0.023681
34.000000,0.122865,0.134697,-0.042788,0.013132,0.002406,0.015007,0.155428,-0.040653,0.160657,0.065211
35.000000,0.098427,0.080674,-0.139756,-0.198168,0.072360,0.019794,0.029354,-0.011347,0.031471,0.012827
36.000000,0.143280,0.132670,0.012159,-0.049250,0.008824,0.018321,-0.097254,0.025454,0.100530,0.040912
37.000000,0.173959,0.177067,0.082973,0.100893,-0.038021,0.013229,-0.053114,0.014509,0.055060,0.022434
38.000000,0.169504,0.170940,0.030572,0.086357,-0.025715,0.012135,0.052196,-0.012871,0.053760,0.021905
39.000000,0.141428,0.116479,-0.060525,-0.057841,0.023783,0.010122,0.054496,-0.014825,0.056476,0.023011
40.000000,0.139985,0.103001,-0.054708,-0.106875,0.035027,0.010778,-0.044058,0.010085,0.045198,0.018419
41.000000,0.171918,0.147775,0.061717,0.045379,-0.020234,0.006807,-0.064409,0.017523,0.066750,0.027191
42.000000,0.181121,0.166459,0.056465,0.099992,-0.033820,0.006193,0.023732,-0.005198,0.024295,0.009903
43.000000,0.162210,0.137296,-0.013384,0.026207,-0.005530,0.005437,0.088530,-0.022611,0.091372,0.037196
44.000000,0.141063,0.098478,-0.067768,-0.087837,0.031739,0.005578,0.042341,-0.012205,0.044065,0.017957
45.000000,0.144668,0.098662,-0.049921,-0.102395,0.033280,0.007471,-0.067439,0.015462,0.069189,0.028183
46.000000,0.166629,0.129193,0.030221,0.005207,-0.004406,0.004819,-0.112390,0.028598,0.115971,0.047170
47.000000,0.184626,0.159077,0.075924,0.097590,-0.033847,0.003610,-0.044768,0.013150,0.046659,0.019014
48.000000,0.186216,0.165326,0.051502,0.103024,-0.034365,0.005312,0.070077,-0.015801,0.071836,0.029259
49.000000,0.163601,0.130263,-0.022743,0.010794,-0.001893,0.004748,0.125997,-0.032139,0.130031,0.052859
50.000000,0.137049,0.084483,-0.113980,-0.155004,0.055879,0.008438,0.027742,-0.010647,0.029715,0.012112
51.000000,0.167624,0.126142,0.010191,-0.032703,0.006930,0.007605,-0.067523,0.017254,0.069693,0.028388
52.000000,0.192683,0.167456,0.076069,0.099021,-0.036097,0.005078,-0.016998,0.005574,0.017889,0.007292
53.000000,0.154959,0.102835,-0.085501,-0.083416,0.034219,0.005337,-0.025511,0.003590,0.025762,0.010501
54.000000,0.167994,0.113398,-0.003321,-0.047818,0.015022,0.004732,-0.096838,0.025438,0.100123,0.040748
55.000000,0.225678,0.204776,0.162496,0.188946,-0.071519,0.005670,0.006391,0.003303,0.007194,0.002933
56.000000,0.201795,0.176583,-0.004803,0.084110,-0.024118,0.009683,0.151752,-0.039656,0.156848,0.063678
57.000000,0.160020,0.100947,-0.148912,-0.164184,0.064566,0.012167,0.081917,-0.024974,0.085639,0.034869
