time,u,v,w,p,q,r,phi,theta,Xacc,GZ
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.015550,0.025949,0.052482,0.073066,-0.029001,0.000518,0.049387,-0.009978,0.050385,0.017571
2.000000,-0.002074,0.001637,-0.017723,-0.010995,0.003701,0.001552,0.075700,-0.021176,0.078606,0.027395
3.000000,0.017524,0.039837,0.068427,0.093479,-0.035046,0.001986,0.133711,-0.031737,0.137426,0.047794
4.000000,-0.010717,0.001417,-0.040924,-0.040847,0.016823,0.003340,0.149178,-0.041451,0.154830,0.053801
5.000000,-0.024538,-0.015409,-0.207501,-0.312320,0.127026,0.026085,-0.079250,0.008972,0.079756,0.027795
6.000000,0.055145,0.075809,-0.035088,-0.119420,0.034387,0.035246,-0.301643,0.083085,0.312876,0.107383
7.000000,0.164927,0.209198,0.253493,0.260367,-0.124022,0.035410,-0.178157,0.062374,0.188760,0.065463
8.000000,0.205245,0.265470,0.121882,0.248122,-0.098659,0.052510,0.107807,-0.026863,0.111103,0.038682
9.000000,0.137058,0.140764,-0.147216,-0.114358,0.068967,0.045184,0.143858,-0.052141,0.153016,0.053175
10.000000,0.163694,0.140884,-0.056363,-0.118222,0.058132,0.041689,0.010537,-0.003874,0.011227,0.003917
11.000000,0.229732,0.195876,0.094618,0.103055,-0.049876,0.030481,0.024715,0.003372,0.024944,0.008701
12.000000,0.210974,0.152318,-0.043240,0.000260,-0.006344,0.023682,0.072279,-0.022011,0.075556,0.026335
13.000000,0.189313,0.115516,-0.096779,-0.126943,0.056661,0.021780,-0.013027,-0.004868,0.013907,0.004852
14.000000,0.217503,0.140360,0.021895,-0.022370,0.011949,0.017100,-0.086541,0.024795,0.090023,0.031364
15.000000,0.243991,0.162213,0.068681,0.073150,-0.034887,0.011780,-0.047353,0.018124,0.050703,0.017681
16.000000,0.249822,0.167914,0.045734,0.094258,-0.041822,0.010534,0.049879,-0.011143,0.051109,0.017823
17.000000,0.209092,0.107241,-0.089080,-0.094007,0.041388,0.009740,0.030082,-0.015225,0.033715,0.011760
18.000000,0.219667,0.119476,-0.008431,-0.047224,0.024110,0.008300,-0.045175,0.011237,0.046552,0.016235
19.000000,0.247226,0.150396,0.065629,0.070413,-0.030881,0.004753,-0.019524,0.010681,0.022255,0.007763
20.000000,0.234674,0.129207,-0.007050,0.017331,-0.011666,0.003342,0.024744,-0.006753,0.025649,0.008947
21.000000,0.220488,0.114476,-0.017970,-0.014704,0.007670,0.001565,0.022839,-0.008622,0.024412,0.008516
22.000000,0.212741,0.105452,-0.017881,-0.032751,0.016136,0.000574,-0.006053,0.000154,0.006055,0.002112
23.000000,0.212933,0.104354,-0.007426,-0.024707,0.009861,-0.000394,-0.037852,0.010164,0.039193,0.013670
24.000000,0.213219,0.103857,0.000805,-0.012934,0.003393,-0.001440,-0.058002,0.015372,0.060004,0.020921
25.000000,0.228277,0.129392,0.059130,0.074479,-0.030615,-0.002104,-0.013745,0.006457,0.015186,0.005298
26.000000,0.234360,0.145741,0.051858,0.107177,-0.043734,0.000527,0.092884,-0.021557,0.095353,0.033216
27.000000,0.210609,0.120553,-0.019271,0.029809,-0.010188,0.001252,0.162494,-0.043946,0.168332,0.058450
28.000000,0.177210,0.077887,-0.114130,-0.144487,0.062630,0.005511,0.078681,-0.027303,0.083284,0.029022
29.000000,0.190722,0.094166,-0.095338,-0.182165,0.073472,0.016396,-0.110114,0.025128,0.112945,0.039320
30.000000,0.226979,0.126266,-0.004338,-0.085049,0.024486,0.016823,-0.250502,0.067952,0.259555,0.089539
31.000000,0.282019,0.191311,0.163262,0.138910,-0.065217,0.012386,-0.194937,0.058774,0.203605,0.070543
32.000000,0.365225,0.313718,0.199041,0.315008,-0.129115,0.030724,0.079950,-0.011956,0.080839,0.028172
