method,nominal,empirical
MC-Dropout,0.1,0.12279899812147776
MC-Dropout,0.3,0.3603162179085786
MC-Dropout,0.5,0.5858766437069506
MC-Dropout,0.7,0.7791953663118347
MC-Dropout,0.9,0.9277144646211647
Deep Ensemble,0.1,0.11688165309956168
Deep Ensemble,0.3,0.346484032561052
Deep Ensemble,0.5,0.5651408891671885
Deep Ensemble,0.7,0.7576268002504696
Deep Ensemble,0.9,0.9142204132748905
Quantile,0.8999999999999999,0.922226048841578
