representation,horizon_s,rmse_deg,mae_deg,r2
direct,1,1.5969254071417767,1.2040141134755025,0.9330476629229535
direct,2,2.077760810965046,1.5657855026347758,0.8866574612166428
direct,3,3.2715016707441857,2.466901570248396,0.7190840479390518
direct,4,4.67002799016395,3.5252923226212265,0.42783831891172164
direct,5,4.654431291747652,3.521674895113992,0.4324144404402379
direct,overall,3.494077160102607,2.456733680818778,0.6796708163470919
reconstruction,1,1.643401591780148,1.2181066139348524,0.9290938529914167
reconstruction,2,2.050225953672022,1.5260314516945361,0.8896416271002443
reconstruction,3,3.427710871625307,2.5279671188444897,0.6916169689674567
reconstruction,4,5.116598568964391,3.728304008430574,0.3131806981269337
reconstruction,5,5.10331305375052,3.733383223628644,0.31765736122702537
reconstruction,overall,3.7650174531585665,2.546758483306619,0.6280663159974958
gz,1,1.608925163759444,1.1998984851766619,0.9320376842730617
gz,2,2.075359330653403,1.5658536968027112,0.8869193128938033
gz,3,3.2765785533691036,2.469374710118645,0.7182114921118126
gz,4,4.673047721597711,3.5402484233689346,0.42709813781488704
gz,5,4.674893899829379,3.546447204518489,0.42741283638855054
gz,overall,3.5021059816429987,2.4643645039970887,0.6781969961670273
