threshold_deg,alarm,prevalence,roc_auc,pr_auc,best_f1,effective_horizon_s,budget_fpr,achieved_fpr,detection_rate,mean_lead_s,n_events
15,point,0.1205,0.924638002228219,0.7512053864699215,0.6825976172439915,5,0.1,0.1,0.9959917248513059,3.9619628716084643,7734
15,prob,0.1205,0.9452535103988248,0.785051570625524,0.6952257730624919,5,0.1,0.0999,0.9879751745539178,4.3512629237010865,7734
15,naive,0.1205,0.669714428508971,0.25386811723700436,0.31572511857688024,0,0.1,0.1,0.7314455650374968,3.5851157857521656,7734
20,point,0.0494,0.9442822474984831,0.6910977777796378,0.6435032606409088,5,0.1,0.1,0.9968454258675079,4.2003164556962025,3170
20,prob,0.0494,0.9482934777654041,0.7274030624987332,0.6575668440360908,5,0.1,0.0999,0.9943217665615142,4.654822335025381,3170
20,naive,0.0494,0.7026234819139661,0.15025861965068318,0.23255448037133192,0,0.1,0.0999,0.8280757097791798,3.595047619047619,3170
25,point,0.0192,0.9602325934155629,0.6234679837568277,0.5964005702066999,5,0.1,0.1,0.9951338199513382,4.4466177669111655,1233
25,prob,0.0192,0.9375736820928744,0.6576844982933439,0.6125714285714285,5,0.1,0.0523,0.9943227899432279,4.570146818923328,1233
25,naive,0.0192,0.7343769846202248,0.08460921378480168,0.1611026808295397,0,0.1,0.1,0.8856447688564477,3.659340659340659,1233
