horizon_s,rmse_deg,mae_deg,r2
1,5.583604728915105,4.229119300498433,0.18148656369696126
2,5.494282765015691,4.129900170596515,0.20745514973441137
3,5.185074309000603,3.962065802722554,0.29434556009020607
4,5.931593007996818,4.468830686033624,0.07695581463144274
5,6.131298770040698,4.646390001962547,0.015075254793403214
overall,5.674951994168566,4.2872611923627355,0.15500155752452116
