method,nominal,empirical
MC-Dropout,0.1,0.06873890127999319
MC-Dropout,0.3,0.20875396002329843
MC-Dropout,0.5,0.35764231222741544
MC-Dropout,0.7,0.5297594862979642
MC-Dropout,0.9,0.7480927959540282
Deep Ensemble,0.1,0.06192553025244705
Deep Ensemble,0.3,0.1879530053557983
Deep Ensemble,0.5,0.32452160077282605
Deep Ensemble,0.7,0.48485459788893465
Deep Ensemble,0.9,0.7002827065960137
Quantile,0.8999999999999999,0.809708627523405
