method,picp,mpiw_deg,crps_deg,point_rmse_deg
MC-Dropout,0.7480927959540282,9.76505356045622,2.6621706819500996,4.976245470190412
Deep Ensemble,0.7002827065960137,8.817901053887011,2.6537047410111936,4.925088606129101
Quantile,0.809708627523405,11.202244370480203,2.0734795511536954,5.039846947599886
