horizon_s,rmse_deg,mae_deg,r2
1,2.547360375035647,1.9825464291302057,0.9018572542795483
2,3.2548890075832357,2.5429431912392646,0.8397386286898301
3,4.736695095129334,3.696120567476012,0.6605545262521373
4,7.010537189061744,5.387978327458127,0.25635961143876096
5,7.067361758763029,5.424829619793437,0.24411677793438846
overall,5.265260898847349,3.8068836270194097,0.5805787095126966
