method,nominal,empirical
MC-Dropout,0.1,0.06892500461706752
MC-Dropout,0.3,0.20834623744512792
MC-Dropout,0.5,0.3573937008992627
MC-Dropout,0.7,0.5285093264763961
MC-Dropout,0.9,0.7446576977170377
Deep Ensemble,0.1,0.06199798269665156
Deep Ensemble,0.3,0.18897728402778766
Deep Ensemble,0.5,0.3251211092327144
Deep Ensemble,0.7,0.48557770169481895
Deep Ensemble,0.9,0.7007401514398147
Quantile,0.8999999999999999,0.804412495915671
