representation,horizon_s,rmse_deg,mae_deg,r2
direct,1,1.6086685207482416,1.2131276419767,0.9320593641655018
direct,2,2.0756589489274804,1.5764533018924776,0.88688665976671
direct,3,3.275789406408479,2.471384187388034,0.7183472103693058
direct,4,4.675666949680132,3.545274366875996,0.42645573856496877
direct,5,4.664356468123993,3.537118042755461,0.42999120426318393
direct,overall,3.499858665806616,2.4686715081777337,0.6786098682802869
reconstruction,1,1.550827409819532,1.1434751331747965,0.9368572610081507
reconstruction,2,2.011885646665062,1.4963006080707242,0.8937305532970441
reconstruction,3,3.4030831414378997,2.5123646584828543,0.6960324465574643
reconstruction,4,5.028414294917187,3.6700809925923186,0.3366512633124996
reconstruction,5,5.048464529487116,3.700117374857486,0.3322456762022219
reconstruction,overall,3.7096002157822983,2.5044677534356357,0.6389347101284356
gz,1,1.6355377383205612,1.2359607781194912,0.9297708165222892
gz,2,2.112570159063007,1.608059033583729,0.8828279261419031
gz,3,3.2714000430033656,2.46011485689086,0.7191015007255779
gz,4,4.676820412165302,3.5449204090646136,0.4261727229446607
gz,5,4.6770479148310145,3.5444291405608674,0.42688506163694384
gz,overall,3.509627358483172,2.478696843643912,0.6768132569039007
