method,picp,mpiw_deg,crps_deg,point_rmse_deg
MC-Dropout,0.7440496654401841,9.738721181022663,2.663852564310072,4.957893817746822
Deep Ensemble,0.695810543961586,8.723040186185495,2.6557413315660554,4.920371101729228
Quantile,0.815942378997315,11.309439481269257,2.074104630710901,5.050134215338816
