method,nominal,empirical
MC-Dropout,0.1,0.0680527340142916
MC-Dropout,0.3,0.20732480004546036
MC-Dropout,0.5,0.3559034535665071
MC-Dropout,0.7,0.5264678723132219
MC-Dropout,0.9,0.7440496654401841
Deep Ensemble,0.1,0.06133312497336307
Deep Ensemble,0.3,0.18665454390476055
Deep Ensemble,0.5,0.32118452643093576
Deep Ensemble,0.7,0.4798141807901578
Deep Ensemble,0.9,0.695810543961586
Quantile,0.8999999999999999,0.815942378997315
