method,nominal,empirical
MC-Dropout,0.1,0.12259549154664996
MC-Dropout,0.3,0.3626581089542893
MC-Dropout,0.5,0.5893206011271134
MC-Dropout,0.7,0.7806668753913588
MC-Dropout,0.9,0.9271790857858485
Deep Ensemble,0.1,0.11813400125234816
Deep Ensemble,0.3,0.3463556668753914
Deep Ensemble,0.5,0.5658484658735128
Deep Ensemble,0.7,0.7568096430807765
Deep Ensemble,0.9,0.9128021289918598
Quantile,0.8999999999999999,0.9207576706324359
