method,nominal,empirical
MC-Dropout,0.1,0.12175641828428303
MC-Dropout,0.3,0.36043206011271134
MC-Dropout,0.5,0.5877363807138385
MC-Dropout,0.7,0.7774420788979336
MC-Dropout,0.9,0.9269567939887289
Deep Ensemble,0.1,0.11859737006887915
Deep Ensemble,0.3,0.3487382592360676
Deep Ensemble,0.5,0.5677582968065122
Deep Ensemble,0.7,0.7573951158422041
Deep Ensemble,0.9,0.9141296180338134
Quantile,0.8999999999999999,0.9203663118346901
