variant,gm_10t_m,n_test_windows,rmse_deg,mae_deg,r2,exceed15_prevalence,exceed15_recall
clamped,0.3,81058,6.3150781898052255,4.3605934122919665,-0.760605671140129,0.10423400528016975,0.36065806604331874
unclamped,0.2582,86986,6.267930346691836,4.412232466181598,-0.29811816365214594,0.15254178833375487,0.3907001281181702
