variant,gm_10t_m,n_test_windows,rmse_deg,mae_deg,r2,exceed15_prevalence,exceed15_recall
clamped,0.3,81058,5.1947510055735115,3.900826258282363,-0.19133555636881194,0.10423400528016975,4.734288081429755e-05
unclamped,0.2582,86986,6.220150430507461,4.5708697331036605,-0.2784027003946461,0.15254178833375487,4.521817770743839e-05
