horizon_s,rmse_deg,mae_deg,r2
1,1.8255897076418175,1.371999193061924,0.9125010508217858
2,2.552966054960655,1.9164213184045105,0.82888348940846
3,3.3871194479724966,2.553500541327265,0.6988775510447047
4,4.973486929967765,3.7601815259146254,0.3510641551664623
5,5.048195290196343,3.8165290958158447,0.332316898216532
overall,3.782666772100957,2.683726334904834,0.6245711066126383
