representation,horizon_s,rmse_deg,mae_deg,r2
direct,1,1.6185196490015945,1.2125599790570152,0.9312247096596338
direct,2,2.0549897283400265,1.5563445345568563,0.8891281878982138
direct,3,3.288946211335678,2.4723928210471366,0.7160802194276534
direct,4,4.674989978728315,3.536688463243738,0.4266218088606186
direct,5,4.663729568974738,3.530351411421718,0.4301444146869893
direct,overall,3.5004474174764018,2.4616674418652926,0.678501729689488
reconstruction,1,1.6075851104158756,1.1863346936678336,0.9321508470274903
reconstruction,2,2.0164892984499505,1.4975390275717857,0.8932436595606005
reconstruction,3,3.3916678166012972,2.504142180017257,0.6980682878872252
reconstruction,4,5.033434408208897,3.678231085780188,0.3353260948164706
reconstruction,5,4.995229003876885,3.6512643724375486,0.3462542231235879
reconstruction,overall,3.699776866219829,2.503502271894923,0.6408444438666954
gz,1,1.6417852830974873,1.241469084528811,0.929233258798516
gz,2,2.1322925019672505,1.605950577641219,0.8806299448891737
gz,3,3.2722108582821248,2.4620539767261027,0.7189622422938873
gz,4,4.707407243525062,3.563800842369613,0.4186424134628651
gz,5,4.7109027203222915,3.5669904174887934,0.4185580492530928
gz,overall,3.5299229886084733,2.4880529797509077,0.6730645716035843
