method,nominal,empirical
MC-Dropout,0.1,0.12282717595491546
MC-Dropout,0.3,0.3630212899185974
MC-Dropout,0.5,0.5883249843456481
MC-Dropout,0.7,0.779264245460238
MC-Dropout,0.9,0.9279023168440826
Deep Ensemble,0.1,0.11755479023168441
Deep Ensemble,0.3,0.3467282404508453
Deep Ensemble,0.5,0.5652567313713213
Deep Ensemble,0.7,0.7572197871008141
Deep Ensemble,0.9,0.9143926111458985
Quantile,0.8999999999999999,0.9244927989981214
