method,picp,mpiw_deg,crps_deg,point_rmse_deg
MC-Dropout,0.9279023168440826,11.383979876630258,1.7917641985306723,3.503403242123029
Deep Ensemble,0.9143926111458985,10.702422350528574,1.7488089083303608,3.4438155575289544
Quantile,0.9244927989981214,10.411415609379729,1.3631461148246788,3.503630603301664
