horizon_s,rmse_deg,mae_deg,r2
1,1.7907949482888994,1.3588359374849017,0.9158046316359391
2,2.4516580942858766,1.8650193894413654,0.8421946791856014
3,3.3602763402007234,2.5172840834083474,0.7036314625124295
4,4.863418088631043,3.6832637527644154,0.37946967062191006
5,4.938423100373219,3.7654452301921095,0.3610385143254091
overall,3.702698725625155,2.6379696786582283,0.6402769413092875
