scope,rmse_deg_mean,rmse_deg_std,r2_mean,r2_std,n_folds,n_runs,delta_r2_vs_id
ID,3.506398842478756,0.011571782548311756,0.6774047734419508,0.0021314953041237468,1,5,0.0
LOHO,3.615729801621176,1.1264837454632273,0.5719272725361633,0.023403758356660826,3,15,-0.10547750090578756
LOVO,4.222312311139296,1.2164653901382432,0.36006683000000983,0.6657774509578663,5,25,-0.317337943441941
LORO,3.4989233194550136,0.012341722069270094,0.6782039163954383,0.0020296180448974837,6,30,0.0007991429534874861
