n_events,n_detected,detection_rate,missed_event_rate,false_episodes,n_episodes,false_episodes_per_hour,precision,lead_mean_s,lead_p10_s,lead_p50_s,lead_p90_s,duration_h,false_alert_rate,lead_time_s,threshold_deg,alarm,k,n,alpha,seed
2545,2524,0.9917485265225933,0.008251473477406734,1013,2205,114.17300648069879,0.5405895691609978,4.3450871632329635,2.0,5.0,5.0,8.8725,0.45941043083900224,4.3450871632329635,15,prob,1,1,0.2520922812946276,0
2545,2526,0.9925343811394892,0.007465618860510781,487,1225,54.88870104254719,0.6024489795918367,4.577593032462391,3.0,5.0,5.0,8.8725,0.39755102040816326,4.577593032462391,15,prob,1,3,0.2520922812946276,0
2545,2428,0.9540275049115914,0.045972495088408616,463,1327,52.183713722175256,0.6510926902788244,4.2392915980230645,2.0,5.0,5.0,8.8725,0.34890730972117556,4.2392915980230645,15,prob,2,3,0.2520922812946276,0
2545,2099,0.82475442043222,0.17524557956777997,444,1345,50.04226542688081,0.6698884758364312,3.9614101953311103,2.0,5.0,5.0,8.8725,0.3301115241635688,3.9614101953311103,15,prob,3,3,0.2520922812946276,0
2545,2528,0.9933202357563851,0.0066797642436149385,306,825,34.48858833474218,0.6290909090909091,4.693037974683544,4.0,5.0,5.0,8.8725,0.37090909090909085,4.693037974683544,15,prob,1,5,0.2520922812946276,0
2545,2454,0.9642436149312377,0.03575638506876233,281,882,31.670893209354745,0.68140589569161,4.495110024449878,3.0,5.0,5.0,8.8725,0.31859410430838997,4.495110024449878,15,prob,2,5,0.2520922812946276,0
2545,2266,0.8903732809430256,0.10962671905697441,296,966,33.361510284587204,0.6935817805383023,4.335392762577229,2.0,5.0,5.0,8.8725,0.30641821946169767,4.335392762577229,15,prob,3,5,0.2520922812946276,0
2545,1553,0.6102161100196464,0.3897838899803536,306,962,34.48858833474218,0.681912681912682,3.940759819703799,1.0,5.0,5.0,8.8725,0.31808731808731805,3.940759819703799,15,prob,5,5,0.2520922812946276,0
2545,2529,0.993713163064833,0.006286836935166962,221,616,24.90842490842491,0.6412337662337663,4.75721629102412,4.0,5.0,5.0,8.8725,0.35876623376623373,4.75721629102412,15,prob,1,7,0.2520922812946276,0
2545,2344,0.9210216110019647,0.07897838899803533,213,727,24.006762468300927,0.7070151306740028,4.551621160409557,2.3000000000000114,5.0,5.0,8.8725,0.2929848693259972,4.551621160409557,15,prob,3,7,0.2520922812946276,0
2545,1889,0.7422396856581532,0.25776031434184676,231,785,26.03550295857988,0.7057324840764331,4.36156696664902,2.0,5.0,5.0,8.8725,0.2942675159235669,4.36156696664902,15,prob,5,7,0.2520922812946276,0
2545,1180,0.4636542239685658,0.5363457760314342,183,666,20.625528317836007,0.7252252252252253,3.916101694915254,1.0,5.0,5.0,8.8725,0.27477477477477474,3.916101694915254,15,prob,7,7,0.2520922812946276,0
2545,2529,0.993713163064833,0.006286836935166962,169,461,19.047619047619047,0.6334056399132321,4.826809015421115,5.0,5.0,5.0,8.8725,0.36659436008676793,4.826809015421115,15,prob,1,10,0.2520922812946276,0
2545,2393,0.9402750491159135,0.05972495088408647,141,496,15.891800507185122,0.7157258064516129,4.699540325950689,4.0,5.0,5.0,8.8725,0.2842741935483871,4.699540325950689,15,prob,3,10,0.2520922812946276,0
2545,2131,0.8373280943025541,0.16267190569744594,174,575,19.611158072696533,0.697391304347826,4.601595495072736,3.0,5.0,5.0,8.8725,0.30260869565217396,4.601595495072736,15,prob,5,10,0.2520922812946276,0
2545,1761,0.6919449901768173,0.3080550098231827,149,591,16.7934629473091,0.7478849407783418,4.435547984099943,2.0,5.0,5.0,8.8725,0.2521150592216582,4.435547984099943,15,prob,7,10,0.2520922812946276,0
2545,773,0.3037328094302554,0.6962671905697446,121,436,13.637644406875175,0.7224770642201835,4.011642949547219,1.0,5.0,5.0,8.8725,0.27752293577981646,4.011642949547219,15,prob,10,10,0.2520922812946276,0
2545,2525,0.9921414538310412,0.007858546168958758,1011,2259,113.94759087066778,0.5524568393094289,4.330693069306931,2.0,5.0,5.0,8.8725,0.4475431606905711,4.330693069306931,15,prob,1,1,0.23338422761984323,1
2545,2528,0.9933202357563851,0.0066797642436149385,482,1239,54.32516201746971,0.6109765940274415,4.5719936708860756,3.0,5.0,5.0,8.8725,0.38902340597255847,4.5719936708860756,15,prob,1,3,0.23338422761984323,1
2545,2430,0.9548133595284872,0.04518664047151277,467,1363,52.63454494223725,0.6573734409391049,4.2213991769547325,2.0,5.0,5.0,8.8725,0.3426265590608951,4.2213991769547325,15,prob,2,3,0.23338422761984323,1
2545,2089,0.8208251473477407,0.1791748526522593,446,1379,50.2676810369118,0.6765772298767223,3.900430828147439,2.0,5.0,5.0,8.8725,0.3234227701232777,3.900430828147439,15,prob,3,3,0.23338422761984323,1
2545,2531,0.9944990176817289,0.005500982318271119,312,840,35.16483516483516,0.6285714285714286,4.696562623468985,4.0,5.0,5.0,8.8725,0.37142857142857144,4.696562623468985,15,prob,1,5,0.23338422761984323,1
2545,2456,0.9650294695481336,0.03497053045186638,292,904,32.91067906452522,0.6769911504424779,4.494706840390879,3.0,5.0,5.0,8.8725,0.32300884955752207,4.494706840390879,15,prob,2,5,0.23338422761984323,1
2545,2272,0.8927308447937131,0.10726915520628688,286,975,32.234432234432234,0.7066666666666667,4.306338028169014,2.0,5.0,5.0,8.8725,0.29333333333333333,4.306338028169014,15,prob,3,5,0.23338422761984323,1
