alarm,fpr_budget,false_episodes_per_hour,detection_rate,precision
prob,0.02,46.66103127641589,0.9172495088408645,0.7679530492130375
point,0.02,48.91518737672584,0.9244007858546169,0.7618790360415607
naive,0.02,21.752606367990982,0.23929273084479372,0.7531969309462916
prob,0.03,58.7883910960834,0.9506483300589391,0.7264624805262623
point,0.03,65.66356720202873,0.9607858546168959,0.7080736207732204
naive,0.03,31.670893209354745,0.3194499017681729,0.7376283846872083
prob,0.05,79.4815440969287,0.97713163064833,0.6569544789353473
point,0.05,96.18484080022543,0.9837328094302554,0.6177744511849564
naive,0.05,52.521837137221745,0.4392927308447937,0.7008985879332478
prob,0.07,96.90617075232458,0.986090373280943,0.6026298500963886
point,0.07,116.53987038602422,0.9922986247544205,0.5631210085909621
naive,0.07,79.90983375598759,0.5308447937131631,0.6517681728880157
prob,0.1,112.93322062552832,0.9925343811394892,0.5461969963580497
point,0.1,135.65511411665256,0.9957563850687622,0.5098637820816425
naive,0.1,125.10566356720201,0.6514734774066797,0.5970961887477314
prob,0.15,131.03409411101717,0.9952848722986246,0.47096495885763706
point,0.15,155.7171034094111,0.9967779960707268,0.44401167752052706
naive,0.15,202.0850943927867,0.7709233791748527,0.52071638599305
prob,0.2,134.79853479853477,0.9957563850687624,0.4082384880388812
point,0.2,161.42011834319527,0.9968565815324165,0.4084876559808716
naive,0.2,264.8633417864187,0.8467583497053045,0.47777777777777775
prob,0.3,137.72893772893772,0.9968565815324165,0.29460286426630705
point,0.3,159.81966751197518,0.9968565815324165,0.352707197925166
naive,0.3,372.4992955762186,0.9273084479371316,0.41379921958141186
