horizon_s,rmse_deg,mae_deg,r2
1,1.5336188626425553,1.2195888719921308,0.920526744492937
2,1.9484745961016376,1.5537771553564874,0.8717271916617355
3,3.1913664032449116,2.553893570205529,0.6558940720028097
4,4.601124315208256,3.7316044577211174,0.2847415072601227
5,4.59733278059601,3.7392722337955306,0.285919351474056
overall,3.424592625315021,2.5596272578141592,0.6037530462776863
