variant,gm_10t_m,n_test_windows,rmse_deg,mae_deg,r2,exceed15_prevalence,exceed15_recall
clamped,0.3,81058,7.620976527191357,5.263106844458067,-1.5640464006006165,0.10423400528016975,0.3883536513196828
unclamped,0.2582,86986,7.263779750492881,5.125148131978066,-0.7433767016983277,0.15254178833375487,0.40979727183661163
