method,nominal,empirical
MC-Dropout,0.1,0.12329054477144646
MC-Dropout,0.3,0.3649624295554164
MC-Dropout,0.5,0.5915341264871634
MC-Dropout,0.7,0.7789574201628052
MC-Dropout,0.9,0.9278083907326237
Deep Ensemble,0.1,0.1184533500313087
Deep Ensemble,0.3,0.3481433938634941
Deep Ensemble,0.5,0.5680776455854728
Deep Ensemble,0.7,0.7577864746399499
Deep Ensemble,0.9,0.9139167188478396
Quantile,0.8999999999999999,0.9292266750156544
