variant,gm_10t_m,n_test_windows,rmse_deg,mae_deg,r2,exceed15_prevalence,exceed15_recall
clamped,0.3,81058,6.334319945926591,4.540954719705248,-0.7713509873469637,0.10423400528016975,0.3879985797135756
unclamped,0.2582,86986,6.348588889800107,4.598927742145536,-0.3317426633333016,0.15254178833375487,0.41076192629437036
