threshold_deg,alarm,prevalence,roc_auc,pr_auc,best_f1,effective_horizon_s,budget_fpr,achieved_fpr,detection_rate,mean_lead_s,n_events
15,point,0.1205,0.929562471057515,0.7575440722523656,0.6934265696062497,5,0.1,0.1,0.995733126454616,4.054927931437476,7734
15,prob,0.1205,0.9466635143527679,0.7886880280814872,0.6973146030708919,5,0.1,0.1,0.9905611585208172,4.358438846103642,7734
15,naive,0.1205,0.669714428508971,0.25386811723700436,0.31572511857688024,0,0.1,0.1,0.7314455650374968,3.5851157857521656,7734
20,point,0.0494,0.9506100761361208,0.7017959901426917,0.6569149838791787,5,0.1,0.1,0.9968454258675079,4.293670886075949,3170
20,prob,0.0494,0.9518565946903451,0.7319836012636347,0.6617749132374814,5,0.1,0.1,0.9952681388012619,4.653565768621236,3170
20,naive,0.0494,0.7026234819139661,0.15025861965068318,0.23255448037133192,0,0.1,0.0999,0.8280757097791798,3.595047619047619,3170
25,point,0.0192,0.9654214112827993,0.6362671331624024,0.6101666386130281,5,0.1,0.1,0.9951338199513382,4.555012224938875,1233
25,prob,0.0192,0.9464091559341191,0.6638809247610206,0.611945511701013,5,0.1,0.0592,0.9951338199513382,4.63080684596577,1233
25,naive,0.0192,0.7343769846202248,0.08460921378480168,0.1611026808295397,0,0.1,0.1,0.8856447688564477,3.659340659340659,1233
