threshold_deg,prob_source,brier_mean,brier_std,ece_mean,ece_std,prevalence
15,Quantile,0.05120613315946858,0.00026704804184853043,0.02066894223347173,0.0007467301553637117,0.12051972448340639
15,Ensemble Gaussian,0.049972650476493165,5.2070066214865535e-05,0.008371597412870305,0.0010637245432578858,0.12051972448340639
20,Quantile,0.023665058906184623,0.00010697499507210202,0.010709737874063856,0.00033537758024508287,0.04938008766437069
20,Ensemble Gaussian,0.023301923119116885,7.185057499123526e-05,0.011001925604348737,0.0005504917671901784,0.04938008766437069
25,Quantile,0.01042267279467776,4.7596664373770736e-05,0.00507319359030092,0.00016379066893102207,0.019201628052598622
25,Ensemble Gaussian,0.010378964677366232,5.839444902182099e-05,0.006683887955993213,0.00030269156575482987,0.019201628052598622
