method,coverage_mean,coverage_std,mpiw_deg_mean,mpiw_deg_std,n_eval
Quantile band,0.9229479352556276,0.0035648448450182543,10.337878391965882,0.10688145184915857,31941
Quantile + CQR,0.8986243386243385,0.0005458580397346884,9.952535755092091,0.0433336186673339,31941
Ensemble Gaussian,0.9145599699445853,0.0006037668321471309,10.706579296395052,0.0157490874618299,31941
Ensemble + split-conformal,0.9017375786606555,0.00041009532925662345,10.256575926174964,0.012991284859306377,31941
