method,picp_mean,picp_std,mpiw_deg_mean,mpiw_deg_std,crps_deg_mean,crps_deg_std,point_rmse_deg_mean,point_rmse_deg_std,n_seeds
MC-Dropout,0.9275122103944897,0.00041841127960107167,11.394184807388985,0.05904772489908129,1.7947717579798543,0.007263343916486351,3.51250140362783,0.011541901687342215,5
Deep Ensemble,0.9138922980588603,0.0006331189698909687,10.710174452350293,0.015475824918230057,1.7514006160766464,0.0018072044996762938,3.448535588277184,0.0030460195767803874,5
Quantile,0.923413901064496,0.0036299695206629787,10.356037027264827,0.10845721318219441,1.3585774516757598,0.008384939888886802,3.497976522049129,0.026391975927002792,5
