method,nominal,empirical
MC-Dropout,0.1,0.12086556169429098
MC-Dropout,0.3,0.35593001841620625
MC-Dropout,0.5,0.5825782688766115
MC-Dropout,0.7,0.7704972375690607
MC-Dropout,0.9,0.9257458563535912
Deep Ensemble,0.1,0.11537753222836096
Deep Ensemble,0.3,0.34097605893186006
Deep Ensemble,0.5,0.5608471454880295
Deep Ensemble,0.7,0.7512338858195212
Deep Ensemble,0.9,0.9114180478821363
Quantile,0.8999999999999999,0.9165009208103131
