method,picp,mpiw_deg,crps_deg,point_rmse_deg
MC-Dropout,0.9275122103944897,11.394184807388985,1.7947717579798543,3.51250140362783
Deep Ensemble,0.9138922980588603,10.710174452350293,1.7514006160766464,3.448535588277184
Quantile,0.923413901064496,10.356037027264827,1.3585774516757598,3.497976522049129
