method,nominal,empirical
MC-Dropout,0.1,0.0674148683780597
MC-Dropout,0.3,0.2042477021210098
MC-Dropout,0.5,0.3514568623829751
MC-Dropout,0.7,0.5210310977255616
MC-Dropout,0.9,0.7385404384083193
Deep Ensemble,0.1,0.06167549828813343
Deep Ensemble,0.3,0.18872583142731314
Deep Ensemble,0.5,0.3245258626813087
Deep Ensemble,0.7,0.4847437882683866
Deep Ensemble,0.9,0.7010782628461025
Quantile,0.8999999999999999,0.8001321191629611
