method,picp,mpiw_deg,crps_deg,point_rmse_deg
MC-Dropout,0.7385404384083193,9.662602566028262,2.699778360539001,5.0370982441039915
Deep Ensemble,0.7010782628461025,8.808367132374634,2.64623285292935,4.916267173175773
Quantile,0.8001321191629611,11.08907468728192,2.0937276933583,5.062566951858181
