threshold_deg,alarm,prevalence,roc_auc,pr_auc,best_f1,effective_horizon_s,budget_fpr,achieved_fpr,detection_rate,mean_lead_s,n_events
15,point,0.1205,0.9268238959688901,0.7570979441534328,0.6907899304350241,5,0.1,0.1,0.9961210240496509,4.020249221183801,7734
15,prob,0.1205,0.9484243079948794,0.7912332274573101,0.7009680379460536,5,0.1,0.1,0.9897853633307474,4.350751143043762,7734
15,naive,0.1205,0.669714428508971,0.25386811723700436,0.31572511857688024,0,0.1,0.1,0.7314455650374968,3.5851157857521656,7734
20,point,0.0494,0.9478312426797637,0.7009234181181724,0.6519891311920852,5,0.1,0.0999,0.9968454258675079,4.26867088607595,3170
20,prob,0.0494,0.9560313989413631,0.7377744776935644,0.6629587712206952,5,0.1,0.0999,0.9952681388012619,4.655150554675119,3170
20,naive,0.0494,0.7026234819139661,0.15025861965068318,0.23255448037133192,0,0.1,0.0999,0.8280757097791798,3.595047619047619,3170
25,point,0.0192,0.9634114017511233,0.6368952615900243,0.6037503301346949,5,0.1,0.1,0.9959448499594485,4.526058631921824,1233
25,prob,0.0192,0.9498801111409161,0.6712004643179819,0.6162450524866632,5,0.1,0.0627,0.9951338199513382,4.668296658516708,1233
25,naive,0.0192,0.7343769846202248,0.08460921378480168,0.1611026808295397,0,0.1,0.1,0.8856447688564477,3.659340659340659,1233
