representation,horizon_s,rmse_deg,mae_deg,r2
direct,1,1.5944968407472195,1.1967445100095866,0.9332511471400499
direct,2,2.073397707730893,1.5519015670579486,0.8871329788668083
direct,3,3.267287604737545,2.463122912648158,0.7198072851860065
direct,4,4.670217096359991,3.520003032854021,0.42779198021313203
direct,5,4.654012409187465,3.517839916493258,0.43251659727917313
direct,overall,3.4924869578468645,2.4499223878125944,0.6799623223741926
reconstruction,1,1.6391811085330306,1.2175519830630745,0.929457578983616
reconstruction,2,2.0913445404955042,1.556773277627302,0.8851706229492675
reconstruction,3,3.405367186828083,2.518093929131887,0.6956242821673206
reconstruction,4,5.1059498738836675,3.725108067655219,0.31603654797892144
reconstruction,5,5.048900600121811,3.689696746806908,0.33213031414468697
reconstruction,overall,3.7475134090562054,2.541444800856878,0.6315166107075664
gz,1,1.625641293072642,1.2220033872843823,0.9306181421610635
gz,2,2.107914986411797,1.5888615963751522,0.8833437483113296
gz,3,3.2747159892826354,2.464997273575391,0.7185317652086022
gz,4,4.6796312014371,3.519801724355845,0.4254827703297517
gz,5,4.675289377187746,3.5201410868189846,0.42731595511512077
gz,overall,3.509047134367218,2.46316101368195,0.676920108841357
