threshold_deg,alarm,prevalence,roc_auc,pr_auc,best_f1,effective_horizon_s,budget_fpr,achieved_fpr,detection_rate,mean_lead_s,n_events
15,point,0.1205,0.9295463605563252,0.7580058530702224,0.691378672186656,5,0.1,0.1,0.9952159296612361,4.062491879953228,7734
15,prob,0.1205,0.9468496762961163,0.7890086292927817,0.697796118147854,5,0.1,0.1,0.9831911042151539,4.4082062072593375,7734
15,naive,0.1205,0.669714428508971,0.25386811723700436,0.31572511857688024,0,0.1,0.1,0.7314455650374968,3.5851157857521656,7734
20,point,0.0494,0.9499088148801599,0.7007185099101367,0.6530803780921097,5,0.1,0.0999,0.9965299684542587,4.300094966761633,3170
20,prob,0.0494,0.9544135862693761,0.7350086907940167,0.6621535723366387,5,0.1,0.0999,0.9940063091482649,4.685179308156141,3170
20,naive,0.0494,0.7026234819139661,0.15025861965068318,0.23255448037133192,0,0.1,0.0999,0.8280757097791798,3.595047619047619,3170
25,point,0.0192,0.9651020563174746,0.633214132831061,0.6049796927423627,5,0.1,0.0998,0.9951338199513382,4.554197229013855,1233
25,prob,0.0192,0.9482230635726726,0.6649929097902085,0.6128371177965407,5,0.1,0.0581,0.9943227899432279,4.66231647634584,1233
25,naive,0.0192,0.7343769846202248,0.08460921378480168,0.1611026808295397,0,0.1,0.1,0.8856447688564477,3.659340659340659,1233
