horizon_s,rmse_deg,mae_deg,r2
1,7.09551500048743,5.309616681562743,-0.32179567108959173
2,7.5143430248378635,5.470729109269691,-0.4824630167084685
3,6.117720360224665,4.590717346084784,0.017661077728205576
4,7.335689820634505,5.400488733232915,-0.4117627567465172
5,8.116727803355715,6.003582344129661,-0.7260765578634005
overall,7.26542224514594,5.355026842855959,-0.3850110645167033
